brand,model,price_in_pln,mileage,gearbox,engine_capacity,fuel_type,city,voivodeship,year
nissan,Nissan Note,31900.0,153 000 km,manual,1 461 cm3,Diesel,Nowe Miasto nad Pilicą,Mazowieckie,2015
nissan,Nissan Navara DC 4x4 EU6 S&S Tekna,95900.0,153 000 km,manual,1 461 cm3,Diesel,Węgierska Górka,Śląskie,2015
nissan,Nissan Micra IG-T 100 N-Style,51900.0,86 000 km,manual,1 598 cm3,Benzyna,Bieruń,Śląskie,2019
nissan,Nissan X-Trail 1.6 DIG-T Acenta 2WD,73000.0,86 000 km,manual,1 598 cm3,Benzyna,Zgorzelec,Dolnośląskie,2019
nissan,Nissan Qashqai,53900.0,83 000 km,manual,1 600 cm3,Diesel,Dębica,Podkarpackie,2016
nissan,Nissan Micra 1.5 dCi Tekna,51800.0,83 000 km,manual,1 600 cm3,Diesel,Kraków,Małopolskie,2016
nissan,Nissan Juke,49900.0,72 500 km,manual,1 618 cm3,Benzyna,Wrocław,Dolnośląskie,2015
nissan,Nissan Navara,83300.0,72 500 km,manual,1 618 cm3,Benzyna,Henryków,Wielkopolskie,2015
nissan,Nissan Micra,44900.0,166 000 km,manual,1 197 cm3,Benzyna,Bolesławice,Pomorskie,2015
nissan,Nissan Qashqai 1.3 DIG-T N-Connecta,96000.0,166 000 km,manual,1 197 cm3,Benzyna,Warszawa,Mazowieckie,2015
nissan,Nissan Pulsar,29900.0,87 105 km,manual,1 332 cm3,Benzyna,Ropczyce,Podkarpackie,2019
nissan,Nissan Qashqai,77900.0,87 105 km,manual,1 332 cm3,Benzyna,Rawicz,Wielkopolskie,2019
nissan,Nissan X-Trail 1.6 DIG-T Tekna 2WD,33900.0,64 000 km,manual,1 461 cm3,Diesel,Tychy,Śląskie,2018
nissan,Nissan X-Trail 1.6 DCi Tekna 2WD EU6,83500.0,64 000 km,manual,1 461 cm3,Diesel,Hornówek,Mazowieckie,2018
nissan,Nissan Qashqai,67900.0,119 000 km,manual,1 198 cm3,Benzyna,Gulczewo,Mazowieckie,2015
nissan,Nissan Qashqai,72900.0,119 000 km,manual,1 198 cm3,Benzyna,Ełk,Warmińsko-mazurskie,2015
nissan,Nissan Qashqai 1.5 dCi Tekna EU6,79800.0,92 000 km,manual,2 299 cm3,Diesel,Bochnia,Małopolskie,2016
nissan,Nissan Qashqai,58000.0,92 000 km,manual,2 299 cm3,Diesel,Pietrzykowice,Dolnośląskie,2016
nissan,Nissan Qashqai 1.3 DIG-T Acenta,79850.0,43 938 km,manual,1 332 cm3,Benzyna,Gdańsk,Pomorskie,2019
nissan,Nissan NV200,41500.0,43 938 km,manual,1 332 cm3,Benzyna,Zielona Góra,Lubuskie,2019
nissan,Nissan Juke,53900.0,156 000 km,manual,1 461 cm3,Diesel,Łajski,Mazowieckie,2017
nissan,Nissan Qashqai 1.3 DIG-T Tekna,82900.0,156 000 km,manual,1 461 cm3,Diesel,Gdańsk,Pomorskie,2017
nissan,Nissan Qashqai 1.6 DIG-T N-Connecta,76300.0,88 950 km,manual,1 197 cm3,Benzyna,Białystok,Podlaskie,2015
nissan,Nissan Qashqai,95000.0,88 950 km,manual,1 197 cm3,Benzyna,Łańcut,Podkarpackie,2015
nissan,Nissan Micra 1.2 Acenta,34777.0,48 000 km,manual,1 332 cm3,Benzyna,Konin,Wielkopolskie,2019
nissan,Nissan Qashqai,72500.0,48 000 km,manual,1 332 cm3,Benzyna,Garwolin,Mazowieckie,2019
nissan,Nissan Qashqai,66300.0,87 000 km,manual,1 618 cm3,Benzyna,Gliwice,Śląskie,2017
nissan,Nissan Qashqai 1.2 DIG-T N-Connecta EU6,58900.0,87 000 km,manual,1 618 cm3,Benzyna,Kraków,Małopolskie,2017
nissan,Nissan Qashqai 1.2 DIG-T Acenta EU6,64800.0,120 000 km,manual,1 599 cm3,Diesel,Bielsko-Biała,Śląskie,2018
nissan,Nissan Qashqai 1.6 DIG-T N-Tec,69900.0,120 000 km,manual,1 599 cm3,Diesel,Bielsko-Biała,Śląskie,2018
nissan,Nissan X-Trail,59999.0,72 586 km,manual,1 198 cm3,Benzyna,Warszawa,Mazowieckie,2017
nissan,Nissan X-Trail,84900.0,72 586 km,manual,1 198 cm3,Benzyna,Iwonicz,Podkarpackie,2017
nissan,Nissan Qashqai,96000.0,107 655 km,manual,1 618 cm3,Benzyna,Warszawa,Mazowieckie,2016
nissan,Nissan Qashqai 1.2 DIG-T Tekna,73500.0,107 655 km,manual,1 618 cm3,Benzyna,Bochnia,Małopolskie,2016
nissan,Nissan Micra 1.2 Visia,29900.0,77 000 km,manual,1 197 cm3,Benzyna,Opole,Opolskie,2017
nissan,Nissan Juke 1.6 N-Connecta,68850.0,77 000 km,manual,1 197 cm3,Benzyna,Zabrze,Śląskie,2017
nissan,Nissan Juke 1.2 DIG-T Acenta EU6,55900.0,143 830 km,manual,1 197 cm3,Benzyna,Wałbrzych,Dolnośląskie,2016
nissan,Nissan Qashqai 1.2 DIG-T Acenta,55900.0,143 830 km,manual,1 197 cm3,Benzyna,Wałbrzych,Dolnośląskie,2016
nissan,Nissan Juke 1.2 DIG-T Tekna,49900.0,95 300 km,manual,1 197 cm3,Benzyna,Tarnowskie Góry,Śląskie,2016
nissan,Nissan Qashqai 1.5 dCi N-Connecta,40900.0,95 300 km,manual,1 197 cm3,Benzyna,Tychy,Śląskie,2016
nissan,Nissan Micra 0.9 IG-T N-Connecta,47900.0,123 300 km,manual,1 618 cm3,Benzyna,Wągrowiec,Wielkopolskie,2015
nissan,Nissan Juke 1.2 DIG-T Acenta EU6,53900.0,123 300 km,manual,1 618 cm3,Benzyna,Białystok,Podlaskie,2015
nissan,Nissan Qashqai 1.2 DIG-T Acenta EU6,71700.0,243 000 km,manual,1 598 cm3,Diesel,Czechy,Łódzkie,2015
nissan,Nissan Qashqai 1.2 DIG-T Acenta,64900.0,243 000 km,manual,1 598 cm3,Diesel,Rybnik,Śląskie,2015
nissan,Nissan Qashqai,48000.0,96 200 km,manual,1 618 cm3,Benzyna,Poznań,Wielkopolskie,2018
nissan,Nissan Qashqai,68000.0,96 200 km,manual,1 618 cm3,Benzyna,Turek,Wielkopolskie,2018
nissan,Nissan X-Trail 1.6 DIG-T Tekna 2WD,89900.0,44 000 km,manual,1 598 cm3,Diesel,Chorzów,Śląskie,2018
nissan,Nissan X-Trail,73900.0,44 000 km,manual,1 598 cm3,Diesel,Rawicz,Wielkopolskie,2018
nissan,Nissan Qashqai,62850.0,130 000 km,manual,1 197 cm3,Benzyna,Warszawa,Mazowieckie,2017
nissan,Nissan X-Trail 1.6 DCi Tekna 2WD,67000.0,130 000 km,manual,1 197 cm3,Benzyna,Września,Wielkopolskie,2017
nissan,Nissan Qashqai,87000.0,102 350 km,manual,1 197 cm3,Benzyna,Wolbrom,Małopolskie,2018
nissan,Nissan Micra 1.0 Acenta,44900.0,102 350 km,manual,1 197 cm3,Benzyna,Sławno,Wielkopolskie,2018
nissan,Nissan 370 Z,45000.0,30 329 km,manual,998 cm3,Benzyna,Łódź,Łódzkie,2019
nissan,Nissan Qashqai,77500.0,30 329 km,manual,998 cm3,Benzyna,Zgierz,Łódzkie,2019
nissan,Nissan Qashqai 1.5 dCi Tekna,57000.0,126 232 km,manual,3 696 cm3,Benzyna,Kowalew,Wielkopolskie,2017
nissan,Nissan Qashqai,58000.0,126 232 km,manual,3 696 cm3,Benzyna,Kraków,Małopolskie,2017
nissan,Nissan Qashqai 1.5 dCi Acenta EU6,58000.0,68 000 km,manual,1 618 cm3,Benzyna,Kielce,Świętokrzyskie,2017
nissan,Nissan Micra 1.2 Visia,30900.0,68 000 km,manual,1 618 cm3,Benzyna,Gniezno,Wielkopolskie,2017
nissan,Nissan Juke,37900.0,79 000 km,manual,1 461 cm3,Diesel,Mszana Dolna,Małopolskie,2015
nissan,Nissan Qashqai 1.2 DIG-T N-Connecta EU6,66000.0,79 000 km,manual,1 461 cm3,Diesel,Burkatów,Dolnośląskie,2015
nissan,Nissan Juke 1.2 DIG-T N-Connecta EU6,52900.0,87 000 km,manual,1 197 cm3,Benzyna,Radłów,Wielkopolskie,2015
nissan,Nissan Qashqai 1.5 dCi N-Tec,93900.0,87 000 km,manual,1 197 cm3,Benzyna,Słupca,Wielkopolskie,2015
