dmr_make,dmr_model,age_band,band_years,approx_age_years,price_bracket_id,price_bracket_label,entry_price_dkk,entry_price_reference_km,exit_age_band,hold_years,shorter_than_6yr_horizon,horizon_available,resale_price_dkk,mileage_adjustment_factor,depreciation_dkk,depreciation_available,fuel_total_dkk,ejerafgift_total_dkk,repair_total_dkk,tco_total_dkk,tco_per_year,running_cost_per_year,standardized_pass_rate,raw_pass_rate,repair_burden_index,median_annual_fuel_cost_dkk,median_annual_ejerafgift_dkk,engagement_score,reliability_unstable,meets_stability_floor,dk_vehicle_count,n_nt_tests,price_n_listings,price_pooled_at_brand,price_calibration_factor,price_confidence,donor_model,excluded_from_rank,excluded_from_running_cost_rank,exclusion_reason,is_hybrid,is_diesel_dominant,cost_rank_in_group,cost_tier,value_for_money_score,value_for_money_weight_cost,value_for_money_weight_engagement,value_for_money_rank_in_group,value_for_money_tier,running_cost_rank_overall,running_cost_tier
FIAT,500,4,2010-2013,14.5,1,"Up to 50,000 DKK",48321,207833,,,,False,,,,False,,,,,17037,17037,0.5389,0.5622,1.3603,12036.057692307691,920.0,0.446,False,True,5656,195462,136,False,0.6677,high,,False,False,,False,False,20,A,0.6933,0.5,0.5,11,A,288,B
NISSAN,NOTE,2,2017-2019,8.0,1,"Up to 50,000 DKK",48192,139375,4,6.5,False,True,32175,0.8906,16017,True,76398,5980,9582,107978,16612,14148,0.7419,0.7798,0.4914,11753.521126760563,920.0,0.2771,False,True,336,159119,179,False,0.6677,high,,False,False,,False,False,15,A,0.4733,0.5,0.5,48,B,130,A
NISSAN,NOTE,3,2014-2016,11.0,1,"Up to 50,000 DKK",44819,139375,4,3.5,True,True,38500,1.0657,6319,True,41137,3220,10381,61058,17445,15640,0.5993,0.6358,0.9887,11753.521126760563,920.0,0.2843,False,True,3290,165260,179,False,0.6677,high,,False,False,,False,False,26,B,0.4067,0.5,0.5,57,C,213,B
NISSAN,NOTE,4,2010-2013,14.5,1,"Up to 50,000 DKK",36126,207833,,,,False,,,,False,,,,,21984,21984,0.5277,0.5436,1.5301,14813.609467455624,2580.0,0.4318,False,True,2058,209537,179,False,0.6677,high,,False,False,,False,False,67,C,0.3467,0.5,0.5,64,C,459,C
RENAULT,Kadjar,1,2020-2022,5.0,4,"150,000-250,000 DKK",172817,105250,3,6.0,False,True,96283,0.8002,76534,True,77829,14640,7916,176920,29487,16731,0.7941,0.7927,0.4398,12971.502590673575,2440.0,0.6811,False,True,349,140221,236,False,0.7098,high,,False,False,,False,False,13,A,0.8293,0.5,0.5,6,S,268,B
RENAULT,Kadjar,2,2017-2019,8.0,3,"90,000-150,000 DKK",126858,139375,4,,False,True,,,,False,,,,,16338,16338,0.7144,0.7119,0.7662,11259.656652360512,2780.0,0.562,False,True,2599,80055,236,False,0.7098,high,,True,False,no_exit_band_data,False,True,,,,,,,,248,B
RENAULT,Kadjar,3,2014-2016,11.0,3,"90,000-150,000 DKK",120319,139375,4,,True,True,,,,False,,,,,16872,16872,,0.595,1.3724,9975.28517110266,2780.0,0.226,True,False,1400,437,236,False,0.7098,high,,True,True,no_exit_band_data,False,True,,,,,,,,,
HYUNDAI,KONA,1,2020-2022,5.0,4,"150,000-250,000 DKK",196848,105250,3,,False,True,,,,False,,,,,14329,14329,0.8587,0.8662,0.231,12036.057692307691,1600.0,0.4668,False,True,1777,59326,132,False,0.7098,high,,True,False,no_exit_band_data,False,False,,,,,,,,142,A
HYUNDAI,KONA,2,2017-2019,8.0,4,"150,000-250,000 DKK",157490,139375,4,,False,True,,,,False,,,,,14963,14963,0.8187,0.8338,0.2817,12517.500000000002,1600.0,0.5018,False,True,2120,2449,132,False,0.7098,high,,True,False,no_exit_band_data,False,False,,,,,,,,178,B
OPEL,Grandland X,1,2020-2022,5.0,4,"150,000-250,000 DKK",237453,105250,3,,False,True,,,,False,,,,,8270,8270,0.852,0.862,0.2649,6435.732647814911,1040.0,0.589,False,True,1365,34239,255,False,0.7098,high,,True,False,no_exit_band_data,True,False,,,,,,,,12,S
