dmr_make,dmr_model,age_band,chapter,chapter_name,n_defects_2_3er,n_tests,defect_rate_per_test
AUDI,Q5,4,0,Identifikasjon av kjoretoyet (vehicle identification),23,5189,0.0044
TOYOTA,AVENSIS,4,0,Identifikasjon av kjoretoyet (vehicle identification),161,20526,0.0078
TOYOTA,RAV4,1,0,Identifikasjon av kjoretoyet (vehicle identification),42,29243,0.0014
MERCEDES-BENZ,C-Klasse,4,0,Identifikasjon av kjoretoyet (vehicle identification),40,7755,0.0052
FORD,NY Focus,4,0,Identifikasjon av kjoretoyet (vehicle identification),298,12012,0.0248
TOYOTA,AYGO 3/5-DØRS,4,0,Identifikasjon av kjoretoyet (vehicle identification),18,3007,0.006
HYUNDAI,I10,1,0,Identifikasjon av kjoretoyet (vehicle identification),0,161,0.0
KIA,CEED,2,0,Identifikasjon av kjoretoyet (vehicle identification),4,1150,0.0035
TOYOTA,AYGO,1,0,Identifikasjon av kjoretoyet (vehicle identification),2,689,0.0029
MAZDA,2,1,0,Identifikasjon av kjoretoyet (vehicle identification),0,625,0.0
MAZDA,MAZDA3,1,0,Identifikasjon av kjoretoyet (vehicle identification),0,1523,0.0
FORD,C-MAX,4,0,Identifikasjon av kjoretoyet (vehicle identification),22,1034,0.0213
MERCEDES-BENZ,GLE,2,0,Identifikasjon av kjoretoyet (vehicle identification),0,719,0.0
KIA,SPORTAGE,4,0,Identifikasjon av kjoretoyet (vehicle identification),9,1242,0.0072
CITROËN,C4 Cactus,1,0,Identifikasjon av kjoretoyet (vehicle identification),2,1085,0.0018
PEUGEOT,5008,4,0,Identifikasjon av kjoretoyet (vehicle identification),9,1845,0.0049
KIA,VENGA,4,0,Identifikasjon av kjoretoyet (vehicle identification),4,668,0.006
FIAT,PANDA,2,0,Identifikasjon av kjoretoyet (vehicle identification),2,94,0.0213
BMW,2-Serie,3,0,Identifikasjon av kjoretoyet (vehicle identification),5,949,0.0053
PEUGEOT,108,3,0,Identifikasjon av kjoretoyet (vehicle identification),0,301,0.0
