dmr_make,dmr_model,age_band,uk_n,uk_rate,no_n,no_rate
OPEL,Mokka,1,335043,0.7696,1060,0.8247
PEUGEOT,2008,1,182517,0.7764,2747,0.6891
PEUGEOT,208,1,207166,0.7706,1123,0.6782
PEUGEOT,3008,1,175564,0.8197,7489,0.7462
PEUGEOT,308,1,102601,0.8111,1141,0.646
PEUGEOT,5008,1,41590,0.7878,4893,0.6804
PEUGEOT,508,1,12758,0.8187,1065,0.7223
RENAULT,Captur,1,229666,0.8092,1550,0.7318
RENAULT,Kadjar,1,140221,0.7941,356,0.7522
RENAULT,MEGANE,1,39000,0.7717,294,0.6563
RENAULT,MEGANE SPORT TOURER,1,39000,0.7717,294,0.6563
SKODA,FABIA,1,187204,0.8113,2246,0.7406
SKODA,FABIA COMBI,1,187204,0.8113,2246,0.7406
SKODA,KAROQ,1,92186,0.8876,2413,0.8226
SKODA,KODIAQ,1,70566,0.8847,7893,0.8383
SKODA,OCTAVIA,1,205326,0.8773,14749,0.8053
SKODA,OCTAVIA COMBI,1,205326,0.8773,14749,0.8053
SKODA,SUPERB,1,85628,0.8627,6713,0.7083
SKODA,SUPERB COMBI,1,85628,0.8627,6713,0.7083
SUZUKI,IGNIS,1,47501,0.8178,1716,0.8044
SUZUKI,SWIFT,1,112302,0.836,4184,0.778
SUZUKI,VITARA,1,125101,0.8523,3773,0.8699
TOYOTA,COROLLA,1,66683,0.8943,9061,0.8043
TOYOTA,RAV4,1,95960,0.8803,29243,0.8498
TOYOTA,RAV4 Plug in,1,95960,0.8803,29243,0.8498
TOYOTA,Toyota C-HR,1,157434,0.8418,14399,0.8181
TOYOTA,YARIS,1,313869,0.8373,16882,0.7325
VOLKSWAGEN,CADDY,1,123004,0.7961,865,0.6482
VOLKSWAGEN,GOLF,1,693637,0.8795,9446,0.7982
VOLKSWAGEN,Golf Sportsvan,1,693637,0.8795,502,0.8611
VOLKSWAGEN,PASSAT,1,129070,0.8737,11253,0.7282
VOLKSWAGEN,PASSAT VARIANT,1,129070,0.8737,11253,0.7282
VOLKSWAGEN,POLO,1,487075,0.7919,5836,0.7988
VOLKSWAGEN,T-Cross,1,26282,0.8428,1210,0.7029
VOLKSWAGEN,T-Roc,1,121908,0.8952,7258,0.8672
VOLKSWAGEN,TIGUAN,1,320154,0.8791,8054,0.816
VOLKSWAGEN,TOURAN,1,39472,0.8405,1595,0.7682
VOLKSWAGEN,UP!,1,126225,0.8147,680,0.699
VOLVO,V40,1,126750,0.7961,3389,0.7835
VOLVO,V60,1,43623,0.848,11028,0.8608
VOLVO,V90,1,33484,0.8608,10928,0.839
VOLVO,XC40,1,90138,0.888,6206,0.9279
VOLVO,XC60,1,140248,0.8697,16959,0.8893
VOLVO,XC90,1,67785,0.8568,8675,0.8608
AUDI,A1 SPORTBACK,2,276062,0.7533,1299,0.6175
AUDI,A3,2,434870,0.8258,9233,0.64
AUDI,A3 Limousine,2,434870,0.8258,290,0.6687
AUDI,A3 Sportback,2,434870,0.8258,8901,0.6386
AUDI,A4 AVANT,2,214851,0.8029,1848,0.7383
AUDI,A5 SPORTBACK,2,125152,0.8091,267,0.6677
AUDI,A6 AVANT,2,130713,0.8532,1067,0.7784
AUDI,Q2,2,23432,0.8586,722,0.6474
AUDI,Q3,2,166545,0.8094,1293,0.6304
AUDI,Q5,2,111570,0.8399,2270,0.7461
BMW,1-Serie,2,386176,0.7964,1319,0.6303
BMW,2-Serie,2,147668,0.807,5966,0.6298
BMW,3-Serie,2,382771,0.8301,3950,0.6635
BMW,4-serie,2,165374,0.8346,509,0.6213
BMW,5-Serie,2,188468,0.845,3263,0.6759
BMW,X1,2,103202,0.8159,3404,0.7022
BMW,X3,2,86521,0.7984,3055,0.6784
BMW,X5,2,69192,0.8645,3601,0.657
CITROËN,BERLINGO,2,170874,0.6156,293,0.4843
CITROËN,C1,2,178862,0.7206,428,0.4369
CITROËN,C3,2,167733,0.6476,1100,0.4523
CITROËN,C4,2,259528,0.655,3636,0.4508
CITROËN,C4 Cactus,2,19685,0.64,1625,0.4084
CITROËN,C4 PICASSO,2,10330,0.7036,1511,0.4666
DACIA,Duster,2,71206,0.6618,542,0.3487
FIAT,500,2,400753,0.64,384,0.4264
FORD,B-MAX,2,114495,0.6781,250,0.5423
FORD,C-MAX,2,133711,0.7626,749,0.6635
FORD,FIESTA,2,1360475,0.6653,4402,0.487
FORD,FOCUS,2,836756,0.7517,5076,0.6816
FORD,FOCUS STATIONSVOGN,2,836756,0.7517,5076,0.6816
FORD,GALAXY,2,50801,0.723,493,0.6707
FORD,KUGA,2,321303,0.7935,4067,0.746
FORD,MONDEO,2,170752,0.8099,5589,0.7442
FORD,MONDEO STATIONCAR,2,170752,0.8099,5589,0.7442
FORD,S-MAX,2,65735,0.7416,3631,0.6677
HONDA,CIVIC,2,176814,0.8097,1171,0.7253
HONDA,CR-V,2,164910,0.851,2570,0.7803
HONDA,JAZZ,2,221635,0.8042,727,0.6427
HYUNDAI,I10,2,263371,0.7059,411,0.5079
HYUNDAI,I20,2,149942,0.732,2116,0.6465
HYUNDAI,I40,2,39346,0.7661,123,0.5262
HYUNDAI,IX20,2,40832,0.6753,230,0.5528
HYUNDAI,Ioniq,2,12190,0.8483,834,0.6387
HYUNDAI,Tucson,2,105588,0.7889,2353,0.6858
KIA,CEED,2,126378,0.7248,1150,0.5663
KIA,Niro,2,11985,0.8422,2639,0.6792
KIA,Optima,2,13045,0.7956,926,0.659
KIA,PICANTO,2,158917,0.6874,1280,0.4698
KIA,RIO,2,117793,0.7147,1154,0.6436
KIA,SPORTAGE,2,301185,0.7623,3281,0.6001
KIA,VENGA,2,66927,0.7019,273,0.5921
MAZDA,CX-3,2,27316,0.7835,5128,0.7181
MAZDA,CX-5,2,78738,0.7893,8955,0.6766
MAZDA,MAZDA2,2,106567,0.7319,1120,0.6754
MAZDA,MAZDA3,2,107141,0.7397,2010,0.6234
MAZDA,MAZDA6,2,69498,0.7736,2276,0.6722
MERCEDES-BENZ,A-Klasse,2,336383,0.7692,2268,0.6911
MERCEDES-BENZ,B-Klasse,2,74455,0.773,1185,0.5715
MERCEDES-BENZ,C-Klasse,2,386887,0.8069,5861,0.6562
MERCEDES-BENZ,CLA,2,70093,0.7829,2377,0.6756
MERCEDES-BENZ,E-Klasse,2,247132,0.8079,3761,0.6881
MERCEDES-BENZ,GLA,2,85299,0.799,1805,0.721
MERCEDES-BENZ,GLC,2,51250,0.8411,5064,0.7012
MERCEDES-BENZ,GLE,2,26238,0.8704,719,0.7203
MINI,COOPER,2,349893,0.8103,1205,0.6518
MITSUBISHI,ASX,2,42309,0.7772,1912,0.7512
MITSUBISHI,OUTLANDER,2,105839,0.7916,22180,0.6458
MITSUBISHI,SPACE STAR,2,17894,0.7574,910,0.6882
NISSAN,JUKE,2,425229,0.6707,531,0.5601
NISSAN,MICRA,2,145460,0.6642,274,0.5727
NISSAN,NOTE,2,159119,0.7419,358,0.7002
NISSAN,QASHQAI,2,616076,0.733,7503,0.6581
NISSAN,X-TRAIL,2,102887,0.7385,2651,0.5917
OPEL,ASTRA,2,614076,0.7257,1977,0.7277
OPEL,ASTRA SPORTS TOURER,2,614076,0.7257,374,0.7367
OPEL,CORSA,2,893807,0.643,1681,0.501
OPEL,INSIGNIA,2,281811,0.7281,1507,0.7245
OPEL,Mokka,2,389561,0.6679,3055,0.6402
OPEL,ZAFIRA,2,224255,0.7152,235,0.6236
PEUGEOT,108,2,136612,0.7445,601,0.4454
PEUGEOT,2008,2,170193,0.6643,3179,0.5219
PEUGEOT,208,2,311720,0.6752,2180,0.5027
PEUGEOT,3008,2,113209,0.675,3468,0.584
PEUGEOT,308,2,148562,0.7075,4530,0.5232
PEUGEOT,5008,2,22110,0.6093,1312,0.5223
PEUGEOT,508,2,16992,0.7558,919,0.576
RENAULT,Captur,2,217199,0.699,1187,0.5379
RENAULT,Kadjar,2,80055,0.7144,688,0.6241
RENAULT,MEGANE,2,76421,0.6244,326,0.5413
RENAULT,MEGANE SPORT TOURER,2,76421,0.6244,326,0.5413
RENAULT,Ny Clio,2,270614,0.5778,641,0.3799
SKODA,CITIGO,2,90119,0.7425,474,0.5609
SKODA,FABIA,2,206097,0.7501,3224,0.5917
SKODA,FABIA COMBI,2,206097,0.7501,3224,0.5917
SKODA,KODIAQ,2,10604,0.86,2105,0.8122
SKODA,OCTAVIA,2,207012,0.8303,13702,0.6923
SKODA,OCTAVIA COMBI,2,207012,0.8303,13702,0.6923
SKODA,RAPID,2,44650,0.7545,1389,0.597
SKODA,RAPID SPACEBACK,2,44650,0.7545,1389,0.597
SKODA,SUPERB,2,70222,0.8086,5609,0.6255
SKODA,SUPERB COMBI,2,70222,0.8086,5609,0.6255
SUZUKI,IGNIS,2,11263,0.7404,813,0.5707
SUZUKI,SWIFT,2,121329,0.737,2129,0.6107
SUZUKI,SX4 COMBIBACK,2,47937,0.7643,2476,0.7009
SUZUKI,VITARA,2,62774,0.7918,3777,0.7425
TOYOTA,AURIS,2,187854,0.8001,15458,0.7014
TOYOTA,AVENSIS,2,39536,0.8235,3935,0.7704
TOYOTA,AVENSIS STW,2,39536,0.8235,3935,0.7704
TOYOTA,AYGO,2,243144,0.7636,608,0.4647
TOYOTA,RAV4,2,68420,0.8279,15118,0.6694
TOYOTA,RAV4 Plug in,2,68420,0.8279,15118,0.6694
TOYOTA,Toyota C-HR,2,27660,0.8196,4126,0.7276
TOYOTA,VERSO,2,36434,0.7806,178,0.5929
TOYOTA,YARIS,2,339969,0.7587,15223,0.5882
VOLKSWAGEN,CADDY,2,143064,0.7365,818,0.5657
VOLKSWAGEN,GOLF,2,760031,0.8319,24534,0.6945
VOLKSWAGEN,Golf Sportsvan,2,760031,0.8319,2883,0.7367
VOLKSWAGEN,PASSAT,2,176131,0.8128,14320,0.6562
VOLKSWAGEN,PASSAT VARIANT,2,176131,0.8128,14320,0.6562
VOLKSWAGEN,POLO,2,549602,0.7082,5290,0.6085
VOLKSWAGEN,T-Roc,2,4501,0.8652,288,0.8251
VOLKSWAGEN,TIGUAN,2,215326,0.8182,7466,0.7227
VOLKSWAGEN,TOURAN,2,50827,0.7821,2051,0.6479
VOLKSWAGEN,UP!,2,193174,0.7483,1503,0.5671
VOLVO,V40,2,167485,0.7321,6391,0.6842
VOLVO,V60,2,41525,0.7994,6546,0.7618
VOLVO,V70,2,16609,0.814,2502,0.7577
VOLVO,V90,2,6265,0.822,4670,0.739
VOLVO,XC60,2,130318,0.7945,9732,0.7475
VOLVO,XC90,2,41869,0.8068,5537,0.7068
ALFA ROMEO,GIULIETTA,3,40861,0.646,258,0.4506
AUDI,A1 SPORTBACK,3,198126,0.6842,3090,0.4854
AUDI,A3,3,330699,0.729,11732,0.546
AUDI,A3 Limousine,3,330699,0.729,391,0.5605
AUDI,A3 Sportback,3,330699,0.729,9047,0.5648
AUDI,A4 AVANT,3,176038,0.7585,2969,0.5893
AUDI,A5 SPORTBACK,3,119471,0.762,880,0.583
AUDI,A6 AVANT,3,102351,0.8004,2163,0.6959
AUDI,Q3,3,76253,0.7365,2899,0.4962
AUDI,Q5,3,67928,0.7914,5548,0.628
BMW,1-Serie,3,346722,0.7193,5856,0.4737
BMW,2-Serie,3,13126,0.7596,949,0.5958
BMW,3-Serie,3,380196,0.7446,8958,0.5387
BMW,4-serie,3,28892,0.7882,422,0.5427
BMW,5-Serie,3,160217,0.7763,8687,0.5144
BMW,X1,3,70155,0.7383,5709,0.4934
BMW,X3,3,63204,0.7454,9399,0.5414
BMW,X5,3,49504,0.8011,2684,0.5907
CHEVROLET,SPARK,3,36446,0.5255,308,0.2083
CITROËN,BERLINGO,3,127260,0.5578,704,0.3967
CITROËN,C1,3,166558,0.6311,880,0.2788
CITROËN,C3,3,184209,0.5476,1322,0.2593
CITROËN,C3 PICASSO,3,1912,0.6117,382,0.2742
CITROËN,C4,3,133337,0.5711,5303,0.384
CITROËN,C4 PICASSO,3,1263,0.5692,1484,0.3534
CITROËN,DS3,3,150218,0.5127,1430,0.2836
DACIA,Duster,3,25225,0.5803,489,0.2791
FIAT,500,3,338208,0.5861,2045,0.2839
FIAT,PANDA,3,86616,0.5866,332,0.3371
FORD,B-MAX,3,67336,0.6107,1129,0.3292
FORD,C-MAX,3,129588,0.6758,1829,0.5246
FORD,FIESTA,3,1204198,0.5887,8583,0.3349
FORD,FOCUS,3,815540,0.6391,15257,0.4713
FORD,FOCUS STATIONSVOGN,3,815540,0.6391,15257,0.4713
FORD,GALAXY,3,53134,0.615,1766,0.4029
FORD,KA,3,207813,0.5972,505,0.3178
FORD,KUGA,3,145744,0.6931,7170,0.5831
FORD,MONDEO,3,179621,0.6967,9588,0.5284
FORD,MONDEO STATIONCAR,3,179621,0.6967,9588,0.5284
FORD,S-MAX,3,83367,0.6594,5510,0.4375
HONDA,CIVIC,3,169956,0.6895,2369,0.6203
HONDA,CR-V,3,144194,0.7871,6725,0.6702
HONDA,JAZZ,3,247854,0.7266,1643,0.5194
HYUNDAI,I10,3,240058,0.5959,1046,0.3127
HYUNDAI,I20,3,130770,0.5919,4313,0.3843
HYUNDAI,I30,3,116869,0.5823,164,0.3876
HYUNDAI,I40,3,24245,0.6725,2466,0.3676
HYUNDAI,IX20,3,35054,0.5354,1937,0.364
HYUNDAI,Tucson,3,1675,0.6679,2331,0.4729
KIA,CEED,3,121490,0.5954,3585,0.4105
KIA,PICANTO,3,153315,0.5654,3887,0.298
KIA,RIO,3,103626,0.5939,2622,0.4038
KIA,SPORTAGE,3,146794,0.6567,7796,0.3903
KIA,VENGA,3,54501,0.5592,1099,0.3892
MAZDA,CX-3,3,651,0.7006,1002,0.6149
MAZDA,CX-5,3,29142,0.697,14518,0.56
MAZDA,MAZDA2,3,118423,0.5879,1899,0.4417
MAZDA,MAZDA3,3,77452,0.6559,2880,0.5232
MAZDA,MAZDA6,3,54563,0.6796,3352,0.5278
MERCEDES-BENZ,A-Klasse,3,128713,0.69,6182,0.583
MERCEDES-BENZ,B-Klasse,3,68724,0.6796,4025,0.4844
MERCEDES-BENZ,C-Klasse,3,286050,0.7242,6797,0.5207
MERCEDES-BENZ,CLA,3,14183,0.7362,2171,0.5756
MERCEDES-BENZ,E-Klasse,3,189294,0.7406,8181,0.5341
MERCEDES-BENZ,GLA,3,8307,0.7698,1359,0.6719
MINI,COOPER,3,123488,0.7315,3308,0.4899
MITSUBISHI,ASX,3,28271,0.7058,9126,0.575
MITSUBISHI,COLT,3,16585,0.5882,1264,0.3992
MITSUBISHI,OUTLANDER,3,31149,0.6851,16791,0.4881
MITSUBISHI,SPACE STAR,3,8191,0.6863,2090,0.5771
NISSAN,JUKE,3,290892,0.5673,1806,0.3285
NISSAN,MICRA,3,154077,0.5793,871,0.4301
NISSAN,NOTE,3,165260,0.5993,946,0.4751
NISSAN,QASHQAI,3,471803,0.5763,10874,0.4234
NISSAN,X-TRAIL,3,25905,0.6373,2381,0.4592
OPEL,ASTRA,3,628012,0.654,3710,0.5184
OPEL,ASTRA SPORTS TOURER,3,628012,0.654,2062,0.5258
OPEL,CORSA,3,826662,0.5726,2051,0.3596
OPEL,INSIGNIA,3,262436,0.6802,3483,0.5561
OPEL,MERIVA,3,121162,0.6286,854,0.396
OPEL,Mokka,3,92478,0.6242,4582,0.4721
OPEL,ZAFIRA,3,234442,0.6307,1038,0.4792
PEUGEOT,107,3,168415,0.6322,862,0.3235
PEUGEOT,108,3,16631,0.6794,301,0.3555
PEUGEOT,2008,3,36594,0.5928,2682,0.3722
PEUGEOT,207,3,177957,0.5233,610,0.3165
PEUGEOT,208,3,174225,0.5902,5152,0.3892
PEUGEOT,3008,3,115672,0.5645,3530,0.4048
PEUGEOT,308,3,135331,0.5967,4837,0.4418
PEUGEOT,5008,3,23824,0.5403,1911,0.3694
PEUGEOT,508,3,28705,0.6963,4721,0.4423
RENAULT,Captur,3,46791,0.6013,929,0.4292
RENAULT,MEGANE,3,127161,0.5295,1261,0.2603
RENAULT,MEGANE SPORT TOURER,3,127161,0.5295,1261,0.2603
RENAULT,Ny Clio,3,239733,0.4919,1622,0.2944
SKODA,CITIGO,3,44780,0.7139,1480,0.45
SKODA,FABIA,3,174709,0.6775,3929,0.4474
SKODA,FABIA COMBI,3,174709,0.6775,3929,0.4474
SKODA,OCTAVIA,3,140318,0.7258,19319,0.5284
SKODA,OCTAVIA COMBI,3,140318,0.7258,19319,0.5284
SKODA,RAPID,3,16202,0.6979,1667,0.4589
SKODA,RAPID SPACEBACK,3,16202,0.6979,1667,0.4589
SKODA,SUPERB,3,40016,0.7119,6121,0.4402
SKODA,SUPERB COMBI,3,40016,0.7119,6121,0.4402
SUZUKI,ALTO,3,82714,0.6065,285,0.3116
SUZUKI,SWIFT,3,98816,0.6391,4814,0.4143
SUZUKI,SX4 COMBIBACK,3,35087,0.6177,6632,0.5247
SUZUKI,VITARA,3,2144,0.7541,1056,0.6181
TOYOTA,AURIS,3,134474,0.7114,23427,0.563
TOYOTA,AVENSIS,3,53471,0.7405,12867,0.5936
TOYOTA,AVENSIS STW,3,53471,0.7405,12867,0.5936
TOYOTA,AYGO,3,178808,0.6396,2298,0.3489
TOYOTA,COROLLA,3,880,0.7024,284,0.3941
TOYOTA,RAV4,3,27467,0.7817,11242,0.607
TOYOTA,VERSO,3,38503,0.6906,3553,0.5148
TOYOTA,YARIS,3,292490,0.6728,21128,0.4181
VOLKSWAGEN,CADDY,3,132153,0.6792,1122,0.3962
VOLKSWAGEN,GOLF,3,644906,0.7319,40607,0.5582
VOLKSWAGEN,Golf Sportsvan,3,644906,0.7319,1676,0.6479
VOLKSWAGEN,PASSAT,3,173856,0.7188,16654,0.5138
VOLKSWAGEN,PASSAT VARIANT,3,173856,0.7188,16654,0.5138
VOLKSWAGEN,POLO,3,467717,0.6063,10576,0.3921
VOLKSWAGEN,TIGUAN,3,118620,0.7192,13669,0.5256
VOLKSWAGEN,TOURAN,3,66409,0.7087,5455,0.4646
VOLKSWAGEN,UP!,3,128355,0.7068,4436,0.4304
VOLVO,V40,3,62834,0.6866,13394,0.5616
VOLVO,V60,3,35876,0.737,13953,0.622
VOLVO,V70,3,24510,0.7676,11477,0.6351
VOLVO,XC60,3,64447,0.7469,13968,0.6535
VOLVO,XC90,3,41360,0.7082,1135,0.5975
AUDI,A1 SPORTBACK,4,35105,0.6447,183,0.4506
AUDI,A3,4,329091,0.6368,8787,0.3446
AUDI,A3 CABRIOLET,4,329091,0.6368,166,0.3546
AUDI,A3 Sportback,4,329091,0.6368,227,0.3941
AUDI,A4 AVANT,4,238100,0.6849,152,0.5193
AUDI,Q3,4,3265,0.7022,293,0.46
AUDI,Q5,4,32587,0.7256,5189,0.4549
BMW,1-Serie,4,278804,0.6738,6307,0.3523
BMW,3-Serie,4,406242,0.6959,10635,0.3337
BMW,5-Serie,4,134337,0.7381,10877,0.4141
BMW,X1,4,23364,0.7115,4390,0.3637
BMW,X3,4,36548,0.7065,5417,0.4506
BMW,X5,4,60059,0.7211,3889,0.4695
CITROËN,BERLINGO,4,114153,0.5318,993,0.2468
CITROËN,C1,4,165674,0.5397,1119,0.244
CITROËN,C3,4,154590,0.4977,1932,0.2447
CITROËN,C3 PICASSO,4,916,0.4965,833,0.2622
CITROËN,C4,4,104425,0.4989,2439,0.2561
CITROËN,C4 PICASSO,4,609,0.4753,1058,0.2436
CITROËN,DS3,4,27264,0.5011,696,0.2573
FIAT,500,4,195462,0.5389,2705,0.1803
FIAT,PANDA,4,107113,0.5158,101,0.1339
FIAT,Punto S7,4,98208,0.5148,347,0.2215
FORD,C-MAX,4,108658,0.5692,1034,0.3615
FORD,FIESTA,4,1153569,0.5386,7906,0.2516
FORD,FOCUS,4,852885,0.5802,12012,0.315
FORD,FOCUS STATIONSVOGN,4,852885,0.5802,12012,0.315
FORD,GALAXY,4,61056,0.5899,2069,0.2662
FORD,KA,4,178806,0.5141,449,0.2245
FORD,KUGA,4,74113,0.6227,5780,0.39
FORD,MONDEO,4,233319,0.6151,15288,0.3527
FORD,MONDEO STATIONCAR,4,233319,0.6151,15288,0.3527
FORD,S-MAX,4,89876,0.6045,6314,0.3254
HONDA,CIVIC,4,312866,0.579,2980,0.2891
HONDA,CR-V,4,175768,0.6858,9204,0.423
HONDA,JAZZ,4,344192,0.5925,2120,0.3696
HYUNDAI,I10,4,160250,0.5402,982,0.281
HYUNDAI,I20,4,72068,0.5515,3876,0.3069
HYUNDAI,I30,4,82590,0.5226,3800,0.2783
HYUNDAI,I40,4,1634,0.6059,753,0.2917
HYUNDAI,IX20,4,7129,0.5098,920,0.2674
KIA,CEED,4,83056,0.5132,742,0.316
KIA,PICANTO,4,125947,0.4832,652,0.1756
KIA,RIO,4,58214,0.5144,248,0.3781
KIA,SPORTAGE,4,47231,0.5757,1242,0.3128
KIA,VENGA,4,14962,0.5229,668,0.3228
MAZDA,MAZDA2,4,131257,0.5252,2075,0.2739
MAZDA,MAZDA3,4,105080,0.5484,3328,0.3098
MAZDA,MAZDA6,4,57890,0.588,4254,0.3115
MERCEDES-BENZ,A-Klasse,4,103039,0.5796,2238,0.2707
MERCEDES-BENZ,B-Klasse,4,60158,0.5714,4180,0.2731
MERCEDES-BENZ,C-Klasse,4,240851,0.6551,7755,0.3384
MERCEDES-BENZ,E-Klasse,4,118523,0.7073,11198,0.4366
MINI,COOPER,4,24334,0.6148,2672,0.2868
MITSUBISHI,ASX,4,7476,0.6557,5149,0.4245
MITSUBISHI,COLT,4,54530,0.5026,3136,0.2626
MITSUBISHI,OUTLANDER,4,20342,0.5869,10148,0.3063
NISSAN,JUKE,4,49473,0.5344,753,0.3011
NISSAN,MICRA,4,238274,0.5315,662,0.2274
NISSAN,NOTE,4,209537,0.5277,1197,0.2759
NISSAN,QASHQAI,4,289849,0.4832,9029,0.2539
NISSAN,X-TRAIL,4,47247,0.5661,3637,0.3326
OPEL,ASTRA,4,651650,0.566,5454,0.3231
OPEL,ASTRA SPORTS TOURER,4,651650,0.566,979,0.3779
OPEL,CORSA,4,728956,0.5238,3017,0.2336
OPEL,INSIGNIA,4,99155,0.6316,4475,0.4159
OPEL,MERIVA,4,110346,0.5143,1312,0.2943
OPEL,ZAFIRA,4,218805,0.5456,1175,0.2693
PEUGEOT,107,4,193007,0.536,1880,0.1728
PEUGEOT,206 +,4,37670,0.5014,143,0.1801
PEUGEOT,207,4,347582,0.4772,5486,0.2523
PEUGEOT,208,4,3456,0.5544,267,0.3629
PEUGEOT,3008,4,38282,0.5084,4758,0.2777
PEUGEOT,308,4,123070,0.5163,4655,0.2762
PEUGEOT,5008,4,7859,0.5036,1845,0.2682
PEUGEOT,508,4,4780,0.6695,1566,0.4054
RENAULT,MEGANE,4,141135,0.4892,1622,0.1824
RENAULT,MEGANE SPORT TOURER,4,141135,0.4892,1622,0.1824
RENAULT,Ny Clio,4,307835,0.4549,517,0.2376
SKODA,FABIA,4,180813,0.5603,4252,0.2906
SKODA,FABIA COMBI,4,180813,0.5603,4252,0.2906
SKODA,OCTAVIA,4,114783,0.6335,12917,0.3275
SKODA,OCTAVIA COMBI,4,114783,0.6335,12917,0.3275
SKODA,SUPERB,4,14927,0.6542,3621,0.3373
SKODA,SUPERB COMBI,4,14927,0.6542,3621,0.3373
SUZUKI,ALTO,4,38922,0.5619,392,0.3082
SUZUKI,IGNIS,4,5671,0.5525,390,0.2586
SUZUKI,SWIFT,4,110057,0.5204,4271,0.2837
SUZUKI,SX4 COMBIBACK,4,33729,0.5219,4809,0.3195
TOYOTA,AURIS,4,149693,0.6112,14992,0.3404
TOYOTA,AVENSIS,4,89398,0.6472,20526,0.3849
TOYOTA,AVENSIS STW,4,89398,0.6472,20526,0.3849
TOYOTA,AYGO,4,177427,0.5395,3007,0.228
TOYOTA,COROLLA,4,62064,0.6355,4053,0.3468
TOYOTA,RAV4,4,36490,0.649,10666,0.4166
TOYOTA,VERSO,4,20896,0.6438,2396,0.3547
TOYOTA,YARIS,4,342210,0.5855,12845,0.2741
