dmr_make,dmr_model,age_band,uk_n_all,uk_rate_all,no_n_all,no_rate_all,uk_n_mechanical,uk_rate_mechanical,no_n_mechanical,no_rate_mechanical,uk_n_consumable,uk_rate_consumable,no_n_consumable,no_rate_consumable
HONDA,CIVIC,1,151099,0.8573,573,0.8021,151099,0.9679,573,0.905,151099,0.8786,573,0.891
HONDA,CR-V,1,116770,0.8927,1749,0.8564,116770,0.9726,1749,0.9203,116770,0.9128,1749,0.9321
HONDA,JAZZ,1,201544,0.8752,801,0.7993,201544,0.9694,801,0.8574,201544,0.8947,801,0.9264
HYUNDAI,I20,1,109969,0.8411,1113,0.787,109969,0.9595,1113,0.8452,109969,0.8664,1113,0.9155
HYUNDAI,Ioniq,1,80426,0.8782,1674,0.7566,80426,0.9575,1674,0.8256,80426,0.9095,1674,0.9133
HYUNDAI,Tucson,1,257700,0.8406,2203,0.8471,257700,0.9437,2203,0.8995,257700,0.8787,2203,0.9462
KIA,CEE'D SW,1,101379,0.8245,984,0.81,101379,0.9499,984,0.885,101379,0.8572,984,0.9408
KIA,CEED,1,101379,0.8245,984,0.81,101379,0.9499,984,0.885,101379,0.8572,984,0.9408
KIA,CEED SW,1,101379,0.8245,984,0.81,101379,0.9499,984,0.885,101379,0.8572,984,0.9408
KIA,Niro,1,93980,0.868,5432,0.82,93980,0.9758,5432,0.8751,93980,0.8856,5432,0.9344
KIA,Optima,1,23133,0.8399,1833,0.8219,23133,0.9564,1833,0.9132,23133,0.8697,1833,0.9308
KIA,RIO,1,75096,0.8241,599,0.8323,75096,0.9574,599,0.9041,75096,0.8514,599,0.9428
KIA,SPORTAGE,1,373513,0.8313,1259,0.8249,373513,0.946,1259,0.8839,373513,0.8677,1259,0.9418
KIA,Stonic,1,47837,0.8521,630,0.7859,47837,0.9637,630,0.847,47837,0.8766,630,0.9401
MAZDA,3,1,81785,0.8132,1523,0.747,81785,0.9093,1523,0.8333,81785,0.8811,1523,0.95
MAZDA,CX-3,1,56414,0.8667,2711,0.8055,56414,0.9618,2711,0.8535,56414,0.8951,2711,0.9477
MAZDA,CX-5,1,95527,0.859,6042,0.7938,95527,0.9549,6042,0.8402,95527,0.893,6042,0.9537
MAZDA,MAZDA3,1,81785,0.8132,1523,0.747,81785,0.9093,1523,0.8333,81785,0.8811,1523,0.95
MAZDA,MAZDA6,1,48336,0.8455,1078,0.7831,48336,0.9443,1078,0.8339,48336,0.8881,1078,0.9554
MAZDA,Mazda CX-30,1,10055,0.885,2458,0.8213,10055,0.9739,2458,0.8508,10055,0.9052,2458,0.9671
MERCEDES-BENZ,A-Klasse,1,477583,0.848,2726,0.8518,477583,0.9483,2726,0.9153,477583,0.8846,2726,0.9571
MERCEDES-BENZ,B-Klasse,1,51926,0.8504,856,0.7849,51926,0.9551,856,0.8985,51926,0.8824,856,0.8836
MERCEDES-BENZ,C,1,339841,0.8567,3637,0.8214,339841,0.9468,3637,0.9373,339841,0.8984,3637,0.9502
MERCEDES-BENZ,C-Klasse,1,339841,0.8567,3637,0.8214,339841,0.9468,3637,0.9373,339841,0.8984,3637,0.9502
MERCEDES-BENZ,CLA,1,94884,0.8337,1365,0.8099,94884,0.9498,1365,0.8823,94884,0.868,1365,0.9391
MERCEDES-BENZ,E,1,235674,0.855,4198,0.8365,235674,0.9441,4198,0.9433,235674,0.8979,4198,0.9734
MERCEDES-BENZ,E-Klasse,1,235674,0.855,4198,0.8365,235674,0.9441,4198,0.9433,235674,0.8979,4198,0.9734
MERCEDES-BENZ,GLA,1,157652,0.8608,938,0.8205,157652,0.9475,938,0.9028,157652,0.8996,938,0.9372
MERCEDES-BENZ,GLC,1,163421,0.8769,6276,0.8402,163421,0.9465,6276,0.9496,163421,0.9224,6276,0.964
MERCEDES-BENZ,GLE,1,55673,0.8833,2193,0.8608,55673,0.9661,2193,0.9625,55673,0.9121,2193,0.936
MINI,COOPER,1,452448,0.8555,538,0.8547,452448,0.9727,538,0.9271,452448,0.8742,538,0.9192
MITSUBISHI,ASX,1,30442,0.8587,452,0.8374,30442,0.9535,452,0.8901,30442,0.8913,452,0.9481
MITSUBISHI,OUTLANDER,1,107990,0.864,27166,0.7797,107990,0.9543,27166,0.8493,107990,0.8961,27166,0.9191
NISSAN,QASHQAI,1,580046,0.8362,4798,0.8029,580046,0.9441,4798,0.859,580046,0.875,4798,0.9429
NISSAN,Qashqai J11A,1,580046,0.8362,4798,0.8029,580046,0.9441,4798,0.859,580046,0.875,4798,0.9429
NISSAN,X-TRAIL,1,117625,0.827,677,0.7925,117625,0.9357,677,0.8486,117625,0.8712,677,0.9309
OPEL,ASTRA,1,386690,0.8262,1077,0.8384,386690,0.941,1077,0.8667,386690,0.8641,1077,0.9683
OPEL,Crossland X,1,21436,0.8476,1377,0.6882,21436,0.9413,1377,0.7363,21436,0.8925,1377,0.9544
OPEL,Grandland X,1,34239,0.8522,2268,0.8179,34239,0.9541,2268,0.8799,34239,0.8864,2268,0.9645
OPEL,INSIGNIA,1,153091,0.8004,1365,0.8721,153091,0.9126,1365,0.9166,153091,0.8599,1365,0.9644
OPEL,Mokka,1,335043,0.7697,1060,0.8247,335043,0.8835,1060,0.8965,335043,0.8451,1060,0.9614
PEUGEOT,2008,1,182517,0.7764,2747,0.6891,182517,0.9028,2747,0.7735,182517,0.8374,2747,0.902
PEUGEOT,208,1,207166,0.7706,1123,0.6782,207166,0.9031,1123,0.7968,207166,0.8299,1123,0.8863
PEUGEOT,3008,1,175564,0.8198,7489,0.7462,175564,0.9218,7489,0.856,175564,0.8741,7489,0.9109
PEUGEOT,308,1,102601,0.8112,1141,0.646,102601,0.9247,1141,0.7747,102601,0.8604,1141,0.8572
PEUGEOT,5008,1,41590,0.788,4893,0.6804,41590,0.9239,4893,0.7967,41590,0.8362,4893,0.8961
PEUGEOT,508,1,12758,0.8187,1065,0.7223,12758,0.9412,1065,0.8498,12758,0.8611,1065,0.9248
RENAULT,Captur,1,229666,0.8093,1550,0.7318,229666,0.9186,1550,0.8262,229666,0.8625,1550,0.9432
RENAULT,Kadjar,1,140221,0.7941,356,0.7522,140221,0.9478,356,0.8186,140221,0.8261,356,0.934
RENAULT,MEGANE,1,39000,0.7717,294,0.6563,39000,0.9095,294,0.8227,39000,0.825,294,0.8351
RENAULT,MEGANE SPORT TOURER,1,39000,0.7717,294,0.6563,39000,0.9095,294,0.8227,39000,0.825,294,0.8351
SKODA,FABIA,1,187204,0.8114,2246,0.7406,187204,0.9104,2246,0.83,187204,0.874,2246,0.929
SKODA,FABIA COMBI,1,187204,0.8114,2246,0.7406,187204,0.9104,2246,0.83,187204,0.874,2246,0.929
SKODA,KAROQ,1,92186,0.8877,2413,0.8226,92186,0.9658,2413,0.8692,92186,0.9147,2413,0.9685
SKODA,KODIAQ,1,70566,0.8847,7893,0.8383,70566,0.9587,7893,0.8867,70566,0.9179,7893,0.976
SKODA,OCTAVIA,1,205326,0.8773,14749,0.8053,205326,0.9548,14749,0.8813,205326,0.9116,14749,0.9609
SKODA,OCTAVIA COMBI,1,205326,0.8773,14749,0.8053,205326,0.9548,14749,0.8813,205326,0.9116,14749,0.9609
SKODA,RAPID,1,26444,0.8112,482,0.7083,26444,0.9153,482,0.8094,26444,0.8688,482,0.9413
SKODA,RAPID SPACEBACK,1,26444,0.8112,482,0.7083,26444,0.9153,482,0.8094,26444,0.8688,482,0.9413
SKODA,SUPERB,1,85628,0.8627,6713,0.7083,85628,0.9468,6713,0.8267,85628,0.9029,6713,0.9512
SKODA,SUPERB COMBI,1,85628,0.8627,6713,0.7083,85628,0.9468,6713,0.8267,85628,0.9029,6713,0.9512
SUZUKI,IGNIS,1,47501,0.8179,1716,0.8044,47501,0.9029,1716,0.9148,47501,0.8915,1716,0.9459
SUZUKI,SWIFT,1,112302,0.8361,4184,0.778,112302,0.9446,4184,0.844,112302,0.8718,4184,0.9348
SUZUKI,SX4,1,30481,0.8503,2054,0.8768,30481,0.9611,2054,0.9175,30481,0.8753,2054,0.9527
SUZUKI,SX4 COMBIBACK,1,30481,0.8503,2054,0.8768,30481,0.9611,2054,0.9175,30481,0.8753,2054,0.9527
SUZUKI,VITARA,1,125101,0.8524,3773,0.8699,125101,0.9689,3773,0.9229,125101,0.8721,3773,0.9383
TOYOTA,AURIS,1,116195,0.8392,6033,0.8139,116195,0.9678,6033,0.8932,116195,0.8592,6033,0.8966
TOYOTA,AVENSIS,1,17973,0.8768,538,0.8515,17973,0.965,538,0.9227,17973,0.8998,538,0.9302
TOYOTA,AVENSIS STW,1,17973,0.8768,538,0.8515,17973,0.965,538,0.9227,17973,0.8998,538,0.9302
TOYOTA,COROLLA,1,66683,0.8944,9061,0.8043,66683,0.9844,9061,0.8576,66683,0.9055,9061,0.944
TOYOTA,RAV4,1,95960,0.8803,29243,0.8498,95960,0.9616,29243,0.9359,95960,0.911,29243,0.947
TOYOTA,RAV4 Plug in,1,95960,0.8803,29243,0.8498,95960,0.9616,29243,0.9359,95960,0.911,29243,0.947
TOYOTA,Toyota C-HR,1,157434,0.8419,14399,0.8181,157434,0.9795,14399,0.8908,157434,0.8552,14399,0.9189
TOYOTA,YARIS,1,313869,0.8374,16882,0.7325,313869,0.9446,16882,0.8153,313869,0.8745,16882,0.9116
TOYOTA,YARIS 5-DØRS,1,313869,0.8374,16882,0.7325,313869,0.9446,16882,0.8153,313869,0.8745,16882,0.9116
VOLKSWAGEN,CADDY,1,123004,0.7962,865,0.6482,123004,0.9137,865,0.7796,123004,0.8479,865,0.9185
VOLKSWAGEN,GOLF,1,693637,0.8795,9446,0.7982,693637,0.9652,9446,0.8706,693637,0.9056,9446,0.9519
VOLKSWAGEN,Golf Sportsvan,1,693637,0.8795,502,0.8611,693637,0.9652,502,0.9361,693637,0.9056,502,0.9659
VOLKSWAGEN,PASSAT,1,129070,0.8737,11253,0.7282,129070,0.9618,11253,0.8142,129070,0.9019,11253,0.9539
VOLKSWAGEN,PASSAT VARIANT,1,129070,0.8737,11253,0.7282,129070,0.9618,11253,0.8142,129070,0.9019,11253,0.9539
VOLKSWAGEN,POLO,1,487075,0.792,5836,0.7988,487075,0.8894,5836,0.8547,487075,0.8712,5836,0.9504
VOLKSWAGEN,T-Cross,1,26282,0.8429,1210,0.7029,26282,0.9469,1210,0.7673,26282,0.8802,1210,0.9047
VOLKSWAGEN,T-Roc,1,121908,0.8952,7258,0.8672,121908,0.9746,7258,0.9225,121908,0.9148,7258,0.9722
VOLKSWAGEN,TIGUAN,1,320154,0.8792,8054,0.816,320154,0.9538,8054,0.8769,320154,0.9154,8054,0.9626
VOLKSWAGEN,TOURAN,1,39472,0.8405,1595,0.7682,39472,0.9559,1595,0.8578,39472,0.8708,1595,0.9526
VOLKSWAGEN,UP!,1,126225,0.8147,680,0.699,126225,0.9297,680,0.7774,126225,0.8625,680,0.8523
VOLVO,V40,1,126750,0.7961,3389,0.7835,126750,0.8955,3389,0.9019,126750,0.8763,3389,0.9612
VOLVO,V60,1,43623,0.848,11028,0.8608,43623,0.9602,11028,0.9216,43623,0.8769,11028,0.9503
VOLVO,V90,1,33484,0.8608,10928,0.839,33484,0.9611,10928,0.9054,33484,0.8911,10928,0.9419
VOLVO,XC40,1,90138,0.8881,6206,0.9279,90138,0.973,6206,0.9554,90138,0.9106,6206,0.9797
VOLVO,XC60,1,140248,0.8698,16959,0.8893,140248,0.9645,16959,0.9462,140248,0.8961,16959,0.951
VOLVO,XC90,1,67785,0.8568,8675,0.8608,67785,0.9572,8675,0.9391,67785,0.8898,8675,0.9437
AUDI,A1 SPORTBACK,2,276062,0.7533,1299,0.6175,276062,0.8619,1299,0.735,276062,0.8434,1299,0.8944
AUDI,A3,2,434870,0.8258,9233,0.64,434870,0.9257,9233,0.7668,434870,0.8757,9233,0.89
AUDI,A3 Limousine,2,434870,0.8258,290,0.6687,434870,0.9257,290,0.8188,434870,0.8757,290,0.8873
AUDI,A3 Sportback,2,434870,0.8258,8901,0.6386,434870,0.9257,8901,0.7647,434870,0.8757,8901,0.8902
AUDI,A4 AVANT,2,214851,0.8029,1848,0.7383,214851,0.8938,1848,0.8826,214851,0.8784,1848,0.9186
AUDI,A5 SPORTBACK,2,125152,0.8091,267,0.6677,125152,0.9155,267,0.8175,125152,0.8664,267,0.92
AUDI,A6 AVANT,2,130713,0.8533,1067,0.7784,130713,0.9288,1067,0.8707,130713,0.9074,1067,0.9164
AUDI,Q2,2,23432,0.8586,722,0.6474,23432,0.9598,722,0.7746,23432,0.8856,722,0.9374
AUDI,Q3,2,166545,0.8095,1293,0.6304,166545,0.8853,1293,0.797,166545,0.8952,1293,0.8982
AUDI,Q5,2,111570,0.8399,2270,0.7461,111570,0.9114,2270,0.864,111570,0.907,2270,0.9161
BMW,1-Serie,2,386176,0.7964,1319,0.6303,386176,0.9313,1319,0.7464,386176,0.8365,1319,0.8778
BMW,2-Serie,2,147668,0.8071,5966,0.6298,147668,0.9223,5966,0.8184,147668,0.8561,5966,0.8623
BMW,3-Serie,2,382771,0.8302,3950,0.6635,382771,0.9447,3950,0.8021,382771,0.8652,3950,0.857
BMW,4-serie,2,165374,0.8347,509,0.6213,165374,0.9439,509,0.7692,165374,0.8736,509,0.8741
BMW,5-Serie,2,188468,0.845,3263,0.6759,188468,0.9391,3263,0.7976,188468,0.8896,3263,0.9211
BMW,X1,2,103202,0.816,3404,0.7022,103202,0.9194,3404,0.8795,103202,0.8702,3404,0.859
BMW,X3,2,86521,0.7984,3055,0.6784,86521,0.9235,3055,0.8458,86521,0.8511,3055,0.9095
BMW,X5,2,69192,0.8646,3601,0.657,69192,0.9504,3601,0.8413,69192,0.9023,3601,0.8761
CITROËN,BERLINGO,2,170874,0.6157,293,0.4843,170874,0.7903,293,0.6533,170874,0.7124,293,0.6945
CITROËN,C 1,2,178862,0.7208,428,0.4369,178862,0.8606,428,0.5614,178862,0.7999,428,0.7307
CITROËN,C1,2,178862,0.7208,428,0.4369,178862,0.8606,428,0.5614,178862,0.7999,428,0.7307
CITROËN,C3,2,167733,0.6476,1100,0.4523,167733,0.7991,1100,0.5813,167733,0.7537,1100,0.7947
CITROËN,C4,2,259528,0.6551,3636,0.4508,259528,0.7984,3636,0.6536,259528,0.7648,3636,0.754
CITROËN,C4 Cactus,2,19685,0.6402,1625,0.4084,19685,0.8025,1625,0.6124,19685,0.7408,1625,0.7325
CITROËN,C4 PICASSO,2,10330,0.7036,1511,0.4666,10330,0.8316,1511,0.6675,10330,0.8008,1511,0.7521
DACIA,Duster,2,71206,0.6619,542,0.3487,71206,0.7895,542,0.5196,71206,0.7771,542,0.6298
FIAT,500,2,400753,0.64,384,0.4264,400753,0.7565,384,0.6046,400753,0.7842,384,0.8004
FORD,B-MAX,2,114495,0.6782,250,0.5423,114495,0.8488,250,0.7313,114495,0.7577,250,0.7155
FORD,C-MAX,2,133711,0.7626,749,0.6635,133711,0.9007,749,0.7549,133711,0.8208,749,0.8823
FORD,FIESTA,2,1360475,0.6654,4402,0.487,1360475,0.8103,4402,0.6289,1360475,0.7664,4402,0.8052
FORD,FIESTA 5 DØRS,2,1360475,0.6654,4402,0.487,1360475,0.8103,4402,0.6289,1360475,0.7664,4402,0.8052
FORD,FOCUS,2,836756,0.7517,5076,0.6816,836756,0.8804,5076,0.8234,836756,0.8236,5076,0.8417
FORD,FOCUS STATIONSVOGN,2,836756,0.7517,5076,0.6816,836756,0.8804,5076,0.8234,836756,0.8236,5076,0.8417
FORD,Focus,2,836756,0.7517,5076,0.6816,836756,0.8804,5076,0.8234,836756,0.8236,5076,0.8417
FORD,GALAXY,2,50801,0.7231,493,0.6707,50801,0.8844,493,0.7934,50801,0.7778,493,0.8757
FORD,KUGA,2,321303,0.7935,4067,0.746,321303,0.9234,4067,0.8281,321303,0.8387,4067,0.9241
FORD,MONDEO,2,170752,0.81,5589,0.7442,170752,0.9268,5589,0.8615,170752,0.8551,5589,0.894
FORD,MONDEO STATIONCAR,2,170752,0.81,5589,0.7442,170752,0.9268,5589,0.8615,170752,0.8551,5589,0.894
FORD,NY Focus,2,836756,0.7517,5076,0.6816,836756,0.8804,5076,0.8234,836756,0.8236,5076,0.8417
FORD,S-MAX,2,65735,0.7416,3631,0.6677,65735,0.885,3631,0.7865,65735,0.81,3631,0.8872
HONDA,CIVIC,2,176814,0.8097,1171,0.7253,176814,0.9472,1171,0.8296,176814,0.8403,1171,0.8553
HONDA,CR-V,2,164910,0.8511,2570,0.7803,164910,0.9392,2570,0.8925,164910,0.8944,2570,0.8661
HONDA,JAZZ,2,221635,0.8042,727,0.6427,221635,0.9396,727,0.722,221635,0.8395,727,0.8232
HYUNDAI,I 10,2,263371,0.706,411,0.5079,263371,0.8567,411,0.5368,263371,0.7803,411,0.8043
HYUNDAI,I10,2,263371,0.706,411,0.5079,263371,0.8567,411,0.5368,263371,0.7803,411,0.8043
HYUNDAI,I20,2,149942,0.7321,2116,0.6465,149942,0.8725,2116,0.7112,149942,0.8008,2116,0.8724
HYUNDAI,I40,2,39346,0.7662,123,0.5262,39346,0.8773,123,0.6914,39346,0.844,123,0.8153
HYUNDAI,IX20,2,40832,0.6753,230,0.5528,40832,0.8229,230,0.6355,40832,0.7669,230,0.7477
HYUNDAI,Ioniq,2,12190,0.8484,834,0.6387,12190,0.9357,834,0.7148,12190,0.8912,834,0.8994
HYUNDAI,Tucson,2,105588,0.7891,2353,0.6858,105588,0.8817,2353,0.7745,105588,0.8693,2353,0.8854
HYUNDAI,i10 AC3,2,263371,0.706,411,0.5079,263371,0.8567,411,0.5368,263371,0.7803,411,0.8043
KIA,CEE'D SW,2,126378,0.7249,1150,0.5663,126378,0.8523,1150,0.7671,126378,0.8143,1150,0.788
KIA,CEED,2,126378,0.7249,1150,0.5663,126378,0.8523,1150,0.7671,126378,0.8143,1150,0.788
KIA,CEED SW,2,126378,0.7249,1150,0.5663,126378,0.8523,1150,0.7671,126378,0.8143,1150,0.788
KIA,Niro,2,11985,0.8424,2639,0.6792,11985,0.9464,2639,0.7395,11985,0.8766,2639,0.9026
KIA,Optima,2,13045,0.7957,926,0.659,13045,0.8981,926,0.7939,13045,0.8628,926,0.8918
KIA,PICANTO,2,158917,0.6875,1280,0.4698,158917,0.8161,1280,0.5748,158917,0.7978,1280,0.8407
KIA,RIO,2,117793,0.7147,1154,0.6436,117793,0.859,1154,0.7527,117793,0.7912,1154,0.8383
KIA,SPORTAGE,2,301185,0.7624,3281,0.6001,301185,0.8716,3281,0.7128,301185,0.8427,3281,0.8203
KIA,VENGA,2,66927,0.7019,273,0.5921,66927,0.8559,273,0.7461,66927,0.7785,273,0.7409
MAZDA,2,2,106567,0.7319,1120,0.6754,106567,0.8375,1120,0.8676,106567,0.8413,1120,0.9269
MAZDA,3,2,107141,0.7397,2010,0.6234,107141,0.834,2010,0.7683,107141,0.8596,2010,0.9114
MAZDA,CX-3,2,27316,0.7835,5128,0.7181,27316,0.874,5128,0.8658,27316,0.8774,5128,0.895
MAZDA,CX-5,2,78738,0.7893,8955,0.6766,78738,0.8712,8955,0.8181,78738,0.8838,8955,0.8947
MAZDA,MAZDA2,2,106567,0.7319,1120,0.6754,106567,0.8375,1120,0.8676,106567,0.8413,1120,0.9269
MAZDA,MAZDA3,2,107141,0.7397,2010,0.6234,107141,0.834,2010,0.7683,107141,0.8596,2010,0.9114
MAZDA,MAZDA6,2,69498,0.7737,2276,0.6722,69498,0.8621,2276,0.8041,69498,0.8741,2276,0.9047
MERCEDES-BENZ,A-Klasse,2,336383,0.7693,2268,0.6911,336383,0.8846,2268,0.8016,336383,0.8395,2268,0.9114
MERCEDES-BENZ,B-Klasse,2,74455,0.773,1185,0.5715,74455,0.8923,1185,0.8124,74455,0.8392,1185,0.7303
MERCEDES-BENZ,C,2,386887,0.807,5861,0.6562,386887,0.8927,5861,0.8472,386887,0.8837,5861,0.9264
MERCEDES-BENZ,C-Klasse,2,386887,0.807,5861,0.6562,386887,0.8927,5861,0.8472,386887,0.8837,5861,0.9264
MERCEDES-BENZ,CLA,2,70093,0.783,2377,0.6756,70093,0.8909,2377,0.8162,70093,0.8519,2377,0.8767
MERCEDES-BENZ,E,2,247132,0.8079,3761,0.6881,247132,0.8943,3761,0.8433,247132,0.8846,3761,0.9404
MERCEDES-BENZ,E-Klasse,2,247132,0.8079,3761,0.6881,247132,0.8943,3761,0.8433,247132,0.8846,3761,0.9404
MERCEDES-BENZ,GLA,2,85299,0.799,1805,0.721,85299,0.8772,1805,0.8287,85299,0.8872,1805,0.9309
MERCEDES-BENZ,GLC,2,51250,0.8412,5064,0.7012,51250,0.9059,5064,0.8859,51250,0.9167,5064,0.9529
MERCEDES-BENZ,GLE,2,26238,0.8705,719,0.7203,26238,0.9506,719,0.8516,26238,0.9105,719,0.8794
MINI,COOPER,2,349893,0.8104,1205,0.6518,349893,0.9318,1205,0.8144,349893,0.8534,1205,0.8412
MITSUBISHI,ASX,2,42309,0.7772,1912,0.7512,42309,0.868,1912,0.8235,42309,0.8684,1912,0.9204
MITSUBISHI,OUTLANDER,2,105839,0.7916,22180,0.6458,105839,0.8899,22180,0.7483,105839,0.8638,22180,0.8536
MITSUBISHI,SPACE STAR,2,17894,0.7574,910,0.6882,17894,0.9105,910,0.7976,17894,0.8081,910,0.8235
NISSAN,JUKE,2,425229,0.6708,531,0.5601,425229,0.7707,531,0.6887,425229,0.8131,531,0.8861
NISSAN,MICRA,2,145460,0.6642,274,0.5727,145460,0.7838,274,0.8449,145460,0.7945,274,0.8084
NISSAN,NOTE,2,159119,0.7419,358,0.7002,159119,0.8559,358,0.821,159119,0.8286,358,0.8746
NISSAN,QASHQAI,2,616076,0.7331,7503,0.6581,616076,0.8406,7503,0.7793,616076,0.834,7503,0.8937
NISSAN,Qashqai J11A,2,616076,0.7331,7503,0.6581,616076,0.8406,7503,0.7793,616076,0.834,7503,0.8937
NISSAN,X-TRAIL,2,102887,0.7386,2651,0.5917,102887,0.8353,2651,0.7842,102887,0.8489,2651,0.8608
OPEL,ASTRA,2,614076,0.7258,1977,0.7277,614076,0.8516,1977,0.8132,614076,0.8169,1977,0.9146
OPEL,ASTRA SPORTS TOURER,2,614076,0.7258,374,0.7367,614076,0.8516,374,0.8412,614076,0.8169,374,0.9265
OPEL,CORSA,2,893807,0.6431,1681,0.501,893807,0.756,1681,0.709,893807,0.7921,1681,0.8666
OPEL,INSIGNIA,2,281811,0.7281,1507,0.7245,281811,0.8411,1507,0.8417,281811,0.8324,1507,0.9033
OPEL,Mokka,2,389561,0.668,3055,0.6402,389561,0.774,3055,0.7729,389561,0.8059,3055,0.8811
OPEL,ZAFIRA,2,224255,0.7153,235,0.6236,224255,0.8545,235,0.7231,224255,0.7983,235,0.9191
PEUGEOT,108,2,136612,0.7446,601,0.4454,136612,0.8683,601,0.5636,136612,0.8268,601,0.7846
PEUGEOT,2008,2,170193,0.6644,3179,0.5219,170193,0.7847,3179,0.6603,170193,0.7915,3179,0.8337
PEUGEOT,208,2,311720,0.6752,2180,0.5027,311720,0.7967,2180,0.6568,311720,0.7947,2180,0.7959
PEUGEOT,3008,2,113209,0.6751,3468,0.584,113209,0.8142,3468,0.7652,113209,0.7784,3468,0.8588
PEUGEOT,308,2,148562,0.7075,4530,0.5232,148562,0.834,4530,0.7008,148562,0.8069,4530,0.8
PEUGEOT,5008,2,22110,0.6094,1312,0.5223,22110,0.8174,1312,0.7191,22110,0.6866,1312,0.7704
