dmr_make,dmr_model,n_listings,pooled_at_brand,co2_gkm_used,curve_age_range
HYUNDAI,I40,267,False,113.0,"7.0-16.0 yrs (94,453-65,744 DKK observed)"
OPEL,CORSA,1438,False,118.0,"3.4-19.8 yrs (125,178-19,949 DKK observed)"
OPEL,ASTRA,3215,False,114.0,"3.4-19.5 yrs (152,478-23,939 DKK observed)"
RENAULT,TWINGO,94,False,95.0,"3.4-20.4 yrs (79,622-18,908 DKK observed)"
CITROËN,GRAND C4 PICASSO,1252,True,106.0,"3.6-23.0 yrs (155,991-14,743 DKK observed)"
TOYOTA,COROLLA,985,False,83.0,"3.7-20.2 yrs (183,442-30,010 DKK observed)"
TOYOTA,AVENSIS,545,False,149.0,"7.0-18.7 yrs (112,667-37,989 DKK observed)"
TOYOTA,YARIS 5-DØRS,378,False,116.0,"3.8-18.7 yrs (129,060-31,918 DKK observed)"
DACIA,Logan MCV,20,False,109.0,"8.2-17.8 yrs (41,459-15,959 DKK observed)"
PEUGEOT,5008,321,False,115.0,"3.7-16.9 yrs (242,681-43,193 DKK observed)"
AUDI,Q3,486,True,127.0,"3.8-22.3 yrs (439,046-37,989 DKK observed)"
TOYOTA,AVENSIS STW,178,False,155.0,"7.0-20.1 yrs (121,254-24,979 DKK observed)"
NISSAN,JUKE,302,False,129.0,"3.7-16.0 yrs (199,435-64,009 DKK observed)"
MERCEDES-BENZ,CLA,357,False,119.0,"3.5-16.0 yrs (364,975-160,371 DKK observed)"
CITROËN,C4 PICASSO,77,False,104.0,"3.6-17.8 yrs (183,702-23,765 DKK observed)"
VOLVO,XC90,433,False,149.0,"3.5-20.6 yrs (457,347-46,836 DKK observed)"
AUDI,A3 CABRIOLET,26,False,119.0,"9.7-24.7 yrs (122,034-16,870 DKK observed)"
KIA,CEED SW,203,False,29.0,"3.6-16.6 yrs (152,651-53,168 DKK observed)"
CITROËN,C3,394,False,99.0,"3.6-22.3 yrs (125,322-17,345 DKK observed)"
PEUGEOT,308,1144,False,85.0,"3.5-17.7 yrs (207,719-28,622 DKK observed)"
VOLKSWAGEN,PASSAT,2137,False,119.0,"3.3-20.7 yrs (237,477-25,847 DKK observed)"
TOYOTA,AURIS,612,False,92.0,"7.0-16.9 yrs (113,187-51,867 DKK observed)"
DACIA,Duster,172,False,123.0,"3.4-16.0 yrs (138,774-46,489 DKK observed)"
HYUNDAI,I30CW,3481,True,110.0,"3.4-17.9 yrs (162,279-41,459 DKK observed)"
BMW,5-Serie,1369,False,114.0,"3.4-20.2 yrs (459,515-52,647 DKK observed)"
SKODA,SUPERB,228,False,121.0,"3.1-20.0 yrs (308,113-27,581 DKK observed)"
SKODA,KAMIQ,49,False,133.0,"3.2-5.7 yrs (165,620-175,245 DKK observed)"
VOLVO,XC60,867,False,129.0,"3.5-17.6 yrs (372,781-86,560 DKK observed)"
VOLVO,V40,547,False,99.0,"7.0-23.6 yrs (109,198-6,939 DKK observed)"
AUDI,A5 SPORTBACK,486,True,136.0,"3.8-22.3 yrs (439,046-37,989 DKK observed)"
MINI,COOPER,373,False,117.0,"3.4-19.5 yrs (274,946-44,928 DKK observed)"
CITROËN,DS3,1252,True,99.0,"3.6-23.0 yrs (155,991-14,743 DKK observed)"
MERCEDES-BENZ,GLE,243,False,23.0,"3.5-9.2 yrs (745,736-364,108 DKK observed)"
PEUGEOT,208,524,False,94.0,"3.6-16.0 yrs (165,575-44,928 DKK observed)"
KIA,PICANTO,121,False,98.0,"3.5-21.9 yrs (105,728-14,658 DKK observed)"
HYUNDAI,I30,1086,False,99.0,"3.5-16.8 yrs (150,049-36,255 DKK observed)"
FORD,C-MAX,367,False,117.0,"7.0-17.0 yrs (78,754-46,663 DKK observed)"
FIAT,PANDA,26,False,99.0,"5.5-20.2 yrs (102,857-15,439 DKK observed)"
CITROËN,C3 PICASSO,101,False,109.0,"3.6-21.9 yrs (107,984-22,377 DKK observed)"
AUDI,A4 AVANT,72,False,127.0,"6.0-22.2 yrs (244,587-29,143 DKK observed)"
MERCEDES-BENZ,E,1177,False,44.0,"3.4-20.3 yrs (450,842-47,704 DKK observed)"
SEAT,Ateca,158,False,125.0,"3.4-9.0 yrs (234,008-140,318 DKK observed)"
VOLVO,V70,390,False,119.0,"7.0-23.8 yrs (82,878-24,112 DKK observed)"
FORD,KUGA,613,False,26.0,"3.6-16.9 yrs (232,273-68,780 DKK observed)"
FIAT,500,136,False,108.0,"3.5-18.1 yrs (202,727-44,061 DKK observed)"
CITROËN,C 1,1252,True,103.0,"3.6-23.0 yrs (155,991-14,743 DKK observed)"
NISSAN,NOTE,179,False,109.0,"9.6-17.9 yrs (52,038-25,847 DKK observed)"
RENAULT,Kadjar,236,False,113.0,"3.4-9.4 yrs (189,773-110,152 DKK observed)"
HYUNDAI,KONA,132,False,124.0,"3.4-9.5 yrs (169,304-118,392 DKK observed)"
OPEL,Grandland X,255,False,112.0,"3.6-9.1 yrs (225,412-134,351 DKK observed)"
AUDI,Q2,486,True,119.0,"3.8-22.3 yrs (439,046-37,989 DKK observed)"
MERCEDES-BENZ,GLC,375,False,129.0,"3.4-9.2 yrs (454,483-284,053 DKK observed)"
FORD,GALAXY,107,False,139.0,"7.0-21.3 yrs (140,075-25,847 DKK observed)"
FORD,KA,81,False,115.0,"9.7-17.9 yrs (57,071-24,103 DKK observed)"
RENAULT,CLIO,983,False,105.0,"3.5-21.0 yrs (112,754-19,428 DKK observed)"
MERCEDES-BENZ,A-Klasse,468,False,112.0,"3.5-20.5 yrs (329,588-26,020 DKK observed)"
MITSUBISHI,SPACE STAR,86,False,100.0,"3.7-23.8 yrs (111,869-9,367 DKK observed)"
TOYOTA,AYGO 3/5-DØRS,95,False,103.0,"3.7-16.0 yrs (90,030-44,408 DKK observed)"
PEUGEOT,207,451,False,113.0,"13.4-18.5 yrs (26,366-22,549 DKK observed)"
OPEL,Crossland X,211,False,109.0,"3.4-9.1 yrs (146,206-97,575 DKK observed)"
MAZDA,CX-3,28,False,137.0,"6.2-9.4 yrs (139,120-137,386 DKK observed)"
TOYOTA,AYGO 5-DØRS,95,False,104.5,"3.7-16.0 yrs (90,030-44,408 DKK observed)"
TOYOTA,RAV4 Plug in,292,False,22.0,"3.7-21.5 yrs (317,272-41,459 DKK observed)"
MAZDA,2,35,False,115.0,"3.8-23.7 yrs (105,642-17,173 DKK observed)"
SKODA,RAPID,987,True,110.0,"3.2-21.5 yrs (192,809-22,377 DKK observed)"
