dmr_make,dmr_model,age_band,n_tests_all,raw_rate_all,standardized_rate_all,unstable_all,n_tests_mechanical,raw_rate_mechanical,standardized_rate_mechanical,unstable_mechanical,n_tests_consumable,raw_rate_consumable,standardized_rate_consumable,unstable_consumable
FORD,FOCUS,1,6110,0.8043,0.798,False,6110,0.8687,0.8666,False,6110,0.9358,0.9316,False
FORD,FOCUS,2,5076,0.685,0.6816,False,5076,0.8249,0.8234,False,5076,0.8455,0.8417,False
FORD,FOCUS,3,15257,0.4692,0.4713,False,15257,0.6807,0.6804,False,15257,0.6913,0.6898,False
FORD,FOCUS,4,12012,0.322,0.315,False,12012,0.5667,0.5552,False,12012,0.5447,0.5343,False
FORD,FOCUS STATIONSVOGN,1,6110,0.8043,0.798,False,6110,0.8687,0.8666,False,6110,0.9358,0.9316,False
FORD,FOCUS STATIONSVOGN,2,5076,0.685,0.6816,False,5076,0.8249,0.8234,False,5076,0.8455,0.8417,False
FORD,FOCUS STATIONSVOGN,3,15257,0.4692,0.4713,False,15257,0.6807,0.6804,False,15257,0.6913,0.6898,False
FORD,FOCUS STATIONSVOGN,4,12012,0.322,0.315,False,12012,0.5667,0.5552,False,12012,0.5447,0.5343,False
FORD,Focus,1,6110,0.8043,0.798,False,6110,0.8687,0.8666,False,6110,0.9358,0.9316,False
FORD,Focus,2,5076,0.685,0.6816,False,5076,0.8249,0.8234,False,5076,0.8455,0.8417,False
FORD,Focus,3,15257,0.4692,0.4713,False,15257,0.6807,0.6804,False,15257,0.6913,0.6898,False
FORD,Focus,4,12012,0.322,0.315,False,12012,0.5667,0.5552,False,12012,0.5447,0.5343,False
FORD,GALAXY,1,191,0.6754,0.7081,False,191,0.8063,0.8122,False,191,0.9215,0.9357,False
FORD,GALAXY,2,493,0.6329,0.6707,False,493,0.7688,0.7934,False,493,0.8519,0.8757,False
FORD,GALAXY,3,1766,0.3386,0.4029,False,1766,0.5351,0.5824,False,1766,0.5193,0.578,False
FORD,GALAXY,4,2069,0.2441,0.2662,False,2069,0.435,0.4628,False,2069,0.4476,0.4711,False
FORD,KA,2,41,0.5122,,True,41,0.6585,,True,41,0.878,,True
FORD,KA,3,505,0.4495,0.3178,False,505,0.602,0.5258,False,505,0.7604,0.6688,False
FORD,KA,4,449,0.314,0.2245,False,449,0.4254,0.2808,False,449,0.6102,0.4463,False
FORD,KUGA,1,5193,0.8225,0.8205,False,5193,0.8681,0.8685,False,5193,0.9582,0.9581,False
FORD,KUGA,2,4067,0.7288,0.746,False,4067,0.8205,0.8281,False,4067,0.9159,0.9241,False
FORD,KUGA,3,7170,0.5505,0.5831,False,7170,0.73,0.7506,False,7170,0.794,0.8137,False
FORD,KUGA,4,5780,0.3626,0.39,False,5780,0.5779,0.6088,False,5780,0.5981,0.6263,False
FORD,MONDEO,1,1541,0.7865,0.8291,False,1541,0.8812,0.9004,False,1541,0.9143,0.936,False
FORD,MONDEO,2,5589,0.7035,0.7442,False,5589,0.842,0.8615,False,5589,0.8722,0.894,False
FORD,MONDEO,3,9588,0.4609,0.5284,False,9588,0.6623,0.7095,False,9588,0.7078,0.7589,False
FORD,MONDEO,4,15288,0.3057,0.3527,False,15288,0.491,0.5441,False,15288,0.5339,0.5857,False
FORD,MONDEO STATIONCAR,1,1541,0.7865,0.8291,False,1541,0.8812,0.9004,False,1541,0.9143,0.936,False
FORD,MONDEO STATIONCAR,2,5589,0.7035,0.7442,False,5589,0.842,0.8615,False,5589,0.8722,0.894,False
FORD,MONDEO STATIONCAR,3,9588,0.4609,0.5284,False,9588,0.6623,0.7095,False,9588,0.7078,0.7589,False
FORD,MONDEO STATIONCAR,4,15288,0.3057,0.3527,False,15288,0.491,0.5441,False,15288,0.5339,0.5857,False
FORD,NY Focus,1,6110,0.8043,0.798,False,6110,0.8687,0.8666,False,6110,0.9358,0.9316,False
FORD,NY Focus,2,5076,0.685,0.6816,False,5076,0.8249,0.8234,False,5076,0.8455,0.8417,False
FORD,NY Focus,3,15257,0.4692,0.4713,False,15257,0.6807,0.6804,False,15257,0.6913,0.6898,False
FORD,NY Focus,4,12012,0.322,0.315,False,12012,0.5667,0.5552,False,12012,0.5447,0.5343,False
FORD,PUMA,1,614,0.8795,,True,614,0.8909,,True,614,0.9805,,True
FORD,S-MAX,1,1786,0.7587,0.7866,False,1786,0.8371,0.8611,False,1786,0.9339,0.9417,False
FORD,S-MAX,2,3631,0.6535,0.6677,False,3631,0.7811,0.7865,False,3631,0.8744,0.8872,False
FORD,S-MAX,3,5510,0.3777,0.4375,False,5510,0.5554,0.6048,False,5510,0.6915,0.7324,False
FORD,S-MAX,4,6314,0.28,0.3254,False,6314,0.449,0.4866,False,6314,0.5309,0.5641,False
HONDA,CIVIC,1,573,0.8133,0.8021,False,573,0.9075,0.905,False,573,0.8953,0.891,False
HONDA,CIVIC,2,1171,0.7395,0.7253,False,1171,0.8369,0.8296,False,1171,0.8659,0.8553,False
HONDA,CIVIC,3,2369,0.6492,0.6203,False,2369,0.7965,0.7796,False,2369,0.7729,0.747,False
HONDA,CIVIC,4,2980,0.3221,0.2891,False,2980,0.5302,0.4973,False,2980,0.5003,0.4553,False
HONDA,CR-V,1,1749,0.8576,0.8564,False,1749,0.9211,0.9203,False,1749,0.9331,0.9321,False
HONDA,CR-V,2,2570,0.7728,0.7803,False,2570,0.8887,0.8925,False,2570,0.8619,0.8661,False
HONDA,CR-V,3,6725,0.6641,0.6702,False,6725,0.8416,0.8451,False,6725,0.7612,0.7654,False
HONDA,CR-V,4,9204,0.3817,0.423,False,9204,0.6223,0.6573,False,9204,0.4961,0.5364,False
HONDA,JAZZ,1,801,0.8439,0.7993,False,801,0.8814,0.8574,False,801,0.9538,0.9264,False
HONDA,JAZZ,2,727,0.7194,0.6427,False,727,0.773,0.722,False,727,0.901,0.8232,False
HONDA,JAZZ,3,1643,0.6111,0.5194,False,1643,0.6969,0.6338,False,1643,0.8052,0.7231,False
HONDA,JAZZ,4,2120,0.4604,0.3696,False,2120,0.5599,0.4735,False,2120,0.6731,0.5567,False
HYUNDAI,I 10,1,161,0.6646,,True,161,0.7267,,True,161,0.9068,,True
HYUNDAI,I 10,2,411,0.5864,0.5079,False,411,0.6229,0.5368,False,411,0.8735,0.8043,False
HYUNDAI,I 10,3,1046,0.4532,0.3127,False,1046,0.5382,0.4017,False,1046,0.7457,0.6199,False
HYUNDAI,I 10,4,982,0.4114,0.281,False,982,0.5071,0.3682,False,982,0.667,0.585,False
HYUNDAI,I10,1,161,0.6646,,True,161,0.7267,,True,161,0.9068,,True
HYUNDAI,I10,2,411,0.5864,0.5079,False,411,0.6229,0.5368,False,411,0.8735,0.8043,False
HYUNDAI,I10,3,1046,0.4532,0.3127,False,1046,0.5382,0.4017,False,1046,0.7457,0.6199,False
HYUNDAI,I10,4,982,0.4114,0.281,False,982,0.5071,0.3682,False,982,0.667,0.585,False
HYUNDAI,I20,1,1113,0.8149,0.787,False,1113,0.8634,0.8452,False,1113,0.9317,0.9155,False
HYUNDAI,I20,2,2116,0.6905,0.6465,False,2116,0.7491,0.7112,False,2116,0.9012,0.8724,False
HYUNDAI,I20,3,4313,0.5126,0.3843,False,4313,0.6065,0.5025,False,4313,0.7475,0.6422,False
HYUNDAI,I20,4,3876,0.3983,0.3069,False,3876,0.4936,0.4046,False,3876,0.638,0.5545,False
HYUNDAI,I30,3,164,0.4024,0.3876,False,164,0.6037,0.5888,False,164,0.628,0.6143,False
HYUNDAI,I30,4,3800,0.3184,0.2783,False,3800,0.4695,0.4236,False,3800,0.5687,0.5305,False
HYUNDAI,I30CW,3,164,0.4024,0.3876,False,164,0.6037,0.5888,False,164,0.628,0.6143,False
HYUNDAI,I30CW,4,3800,0.3184,0.2783,False,3800,0.4695,0.4236,False,3800,0.5687,0.5305,False
HYUNDAI,I40,1,1,0.0,,True,1,1.0,,True,1,1.0,,True
HYUNDAI,I40,2,123,0.5041,0.5262,False,123,0.6829,0.6914,False,123,0.7967,0.8153,False
HYUNDAI,I40,3,2466,0.3569,0.3676,False,2466,0.5292,0.5341,False,2466,0.6752,0.6923,False
HYUNDAI,I40,4,753,0.2935,0.2917,False,753,0.4449,0.4428,False,753,0.6135,0.6098,False
HYUNDAI,IX20,2,230,0.6826,0.5528,False,230,0.7435,0.6355,False,230,0.8609,0.7477,False
HYUNDAI,IX20,3,1937,0.4646,0.364,False,1937,0.5829,0.4993,False,1937,0.7176,0.6281,False
HYUNDAI,IX20,4,920,0.3402,0.2674,False,920,0.4543,0.3897,False,920,0.6304,0.5272,False
HYUNDAI,Ioniq,1,1674,0.7605,0.7566,False,1674,0.8286,0.8256,False,1674,0.9158,0.9133,False
HYUNDAI,Ioniq,2,834,0.6583,0.6387,False,834,0.723,0.7148,False,834,0.9149,0.8994,False
HYUNDAI,KONA,1,232,0.8276,,True,232,0.8621,,True,232,0.9526,,True
HYUNDAI,KONA,2,42,0.7381,,True,42,0.7857,,True,42,0.9524,,True
HYUNDAI,Tucson,1,2203,0.8575,0.8471,False,2203,0.9088,0.8995,False,2203,0.9496,0.9462,False
HYUNDAI,Tucson,2,2353,0.6834,0.6858,False,2353,0.7739,0.7745,False,2353,0.8857,0.8854,False
HYUNDAI,Tucson,3,2331,0.4843,0.4729,False,2331,0.6015,0.5927,False,2331,0.7546,0.7427,False
HYUNDAI,Tucson,4,317,0.3249,0.3363,False,317,0.4637,0.4734,False,317,0.5804,0.5896,False
HYUNDAI,i10 AC3,1,161,0.6646,,True,161,0.7267,,True,161,0.9068,,True
HYUNDAI,i10 AC3,2,411,0.5864,0.5079,False,411,0.6229,0.5368,False,411,0.8735,0.8043,False
HYUNDAI,i10 AC3,3,1046,0.4532,0.3127,False,1046,0.5382,0.4017,False,1046,0.7457,0.6199,False
HYUNDAI,i10 AC3,4,982,0.4114,0.281,False,982,0.5071,0.3682,False,982,0.667,0.585,False
HYUNDAI,i30 Stc.,3,164,0.4024,0.3876,False,164,0.6037,0.5888,False,164,0.628,0.6143,False
HYUNDAI,i30 Stc.,4,3800,0.3184,0.2783,False,3800,0.4695,0.4236,False,3800,0.5687,0.5305,False
KIA,CEE'D SW,1,984,0.8181,0.81,False,984,0.8882,0.885,False,984,0.9441,0.9408,False
