dmr_make,dmr_model,dk_vehicle_count,dk_sample_variants,proposed_dvsa_make,proposed_dvsa_model_token,uk_test_count,confidence,rule_fired,decision
SKODA,CITIGO,27868,1.0 MPI 60 HK 5-Dørs Hatchback; 1.0 MPI 60  5-Dørs; 1.0 MPI 60 HK 3-Dørs Hatchback,SKODA,CITI,3,medium,name_similarity_firsttoken,
OPEL,CORSA,27644,"1,4 5-dørs; 1,2 5D; 1,4 90HK 5-dørs",VAUXHALL,CORSA,2306909,high,name_similarity_firsttoken,
OPEL,CORSA,27644,"1,4 5-dørs; 1,2 5D; 1,4 90HK 5-dørs",VAUXHALL,CORSAVAN,8928,medium,name_similarity_firsttoken,
OPEL,CORSA,27644,"1,4 5-dørs; 1,2 5D; 1,4 90HK 5-dørs",VAUXHALL,CRESTA,92,medium,name_similarity_firsttoken,
OPEL,CORSA,27644,"1,4 5-dørs; 1,2 5D; 1,4 90HK 5-dørs",VAUXHALL,COSRA,4,medium,name_similarity_firsttoken,
OPEL,CORSA,27644,"1,4 5-dørs; 1,2 5D; 1,4 90HK 5-dørs",VAUXHALL,CORSER,4,medium,name_similarity_firsttoken,
RENAULT,Ny Clio,26976,TCe 90 Sport Tourer; TCe 90 5d; dCi 75 Sport Tourer,RENAULT,CLIO,848688,exact,short_code_exact,
HYUNDAI,I20,25514,"1.25 5 dørs Hatchback; 1.2 5 dørs MPV; 1,2",HYUNDAI,I20,314701,exact,code_exact,
SKODA,FABIA,25197,1.0 TSI 95  Combi; 1.2 TSI 90 HK STATIONCAR; 1.2 TSI 110 HK STATIONCAR,SKODA,FABIA,569705,high,name_similarity_firsttoken,
SKODA,FABIA,25197,1.0 TSI 95  Combi; 1.2 TSI 90 HK STATIONCAR; 1.2 TSI 110 HK STATIONCAR,SKODA,FABIA3,4,high,name_similarity_firsttoken,
SKODA,FABIA,25197,1.0 TSI 95  Combi; 1.2 TSI 90 HK STATIONCAR; 1.2 TSI 110 HK STATIONCAR,SKODA,FEBIA2,4,medium,name_similarity_firsttoken,
SKODA,OCTAVIA,24510,1.5 TSI ACT 150 COMBI DSG7; 2.0 TDI 150 COMBI DSG7; 1.4 TSI 150 COMBI DSG,SKODA,OCTAVIA,484694,high,name_similarity_firsttoken,
SKODA,OCTAVIA,24510,1.5 TSI ACT 150 COMBI DSG7; 2.0 TDI 150 COMBI DSG7; 1.4 TSI 150 COMBI DSG,SKODA,OCTIVIA,5,medium,name_similarity_firsttoken,
SKODA,OCTAVIA,24510,1.5 TSI ACT 150 COMBI DSG7; 2.0 TDI 150 COMBI DSG7; 1.4 TSI 150 COMBI DSG,SKODA,OTAVIA,2,high,name_similarity_firsttoken,
SKODA,OCTAVIA,24510,1.5 TSI ACT 150 COMBI DSG7; 2.0 TDI 150 COMBI DSG7; 1.4 TSI 150 COMBI DSG,SKODA,OCTVIA,1,high,name_similarity_firsttoken,
NISSAN,QASHQAI,23722,DIG-T 160 DCT; DIG-T 140 6 M/T; DIG-T 115 2WD 6 M/T,NISSAN,QASHQAI,1469028,high,name_similarity_firsttoken,
NISSAN,QASHQAI,23722,DIG-T 160 DCT; DIG-T 140 6 M/T; DIG-T 115 2WD 6 M/T,NISSAN,QUASHQAI,14,high,name_similarity_firsttoken,
NISSAN,QASHQAI,23722,DIG-T 160 DCT; DIG-T 140 6 M/T; DIG-T 115 2WD 6 M/T,NISSAN,QASHQI,4,high,name_similarity_firsttoken,
NISSAN,QASHQAI,23722,DIG-T 160 DCT; DIG-T 140 6 M/T; DIG-T 115 2WD 6 M/T,NISSAN,QASQAI,3,high,name_similarity_firsttoken,
NISSAN,QASHQAI,23722,DIG-T 160 DCT; DIG-T 140 6 M/T; DIG-T 115 2WD 6 M/T,NISSAN,QASHQUAI,2,high,name_similarity_firsttoken,
SUZUKI,SWIFT,22549,"1,2 5-dørs; 1,2 Hybrid 5-dørs; 1,2 Dualjet 5-dørs",SUZUKI,SWIFT,324246,high,name_similarity_firsttoken,
SUZUKI,SWIFT,22549,"1,2 5-dørs; 1,2 Hybrid 5-dørs; 1,2 Dualjet 5-dørs",SUZUKI,SWITT,4,medium,name_similarity_firsttoken,
KIA,RIO,21547,1.2 5-dørs Man. 5; 1.0 5-dørs Man. 5; 1.1 CRDI 5-dørs Man. 6,KIA,RIO,244472,exact,short_code_exact,
PEUGEOT,308,20846,1.6 BlueHDi 120 hk SW; 1.6 BlueHDi 120 hk 5D; BlueHDi 130  SW,PEUGEOT,308,330852,exact,code_exact,
RENAULT,Captur,18881,TCe 90; dCi 90; E-TECH 160,RENAULT,CAPTUR,377121,high,name_similarity_firsttoken,
RENAULT,Captur,18881,TCe 90; dCi 90; E-TECH 160,RENAULT,CAMPER,327,medium,name_similarity_firsttoken,
RENAULT,Captur,18881,TCe 90; dCi 90; E-TECH 160,RENAULT,CAPTURE,4,high,name_similarity_firsttoken,
RENAULT,Captur,18881,TCe 90; dCi 90; E-TECH 160,RENAULT,CAR,4,medium,name_similarity_firsttoken,
RENAULT,Captur,18881,TCe 90; dCi 90; E-TECH 160,RENAULT,KAPTUR,2,medium,name_similarity_firsttoken,
VOLKSWAGEN,TOURAN,17682,1.5 TSI 150 DSG7; 1.4 TSI 150 DSG7; 1.6 TDI SCR 115 DSG7,VOLKSWAGEN,TOURAN,178099,high,name_similarity_firsttoken,
VOLKSWAGEN,TOURAN,17682,1.5 TSI 150 DSG7; 1.4 TSI 150 DSG7; 1.6 TDI SCR 115 DSG7,VOLKSWAGEN,TOURAG,9,medium,name_similarity_firsttoken,
VOLKSWAGEN,TOURAN,17682,1.5 TSI 150 DSG7; 1.4 TSI 150 DSG7; 1.6 TDI SCR 115 DSG7,VOLKSWAGEN,TOGUAN,5,medium,name_similarity_firsttoken,
VOLKSWAGEN,TOURAN,17682,1.5 TSI 150 DSG7; 1.4 TSI 150 DSG7; 1.6 TDI SCR 115 DSG7,VOLKSWAGEN,TORAN,2,high,name_similarity_firsttoken,
VOLKSWAGEN,TOURAN,17682,1.5 TSI 150 DSG7; 1.4 TSI 150 DSG7; 1.6 TDI SCR 115 DSG7,VOLKSWAGEN,TURAN,1,high,name_similarity_firsttoken,
PEUGEOT,107,17674,"1,0 5-D 68 HK; 1,0 5-D; 1,0 I 5D 68HK",PEUGEOT,107,281814,exact,code_exact,
FORD,KUGA,16767,2.5 Plug-in Hybrid (225 HK) SUV FWD CVT; 1.5 Ecoboost (150 HK) SUV FWD (forhjulstræk) Man; 1.5 EcoBoost (150 HK ) SUV FWD M6,FORD,KUGA,699530,exact,short_code_exact,
PEUGEOT,2008,16677,1.6 BlueHDi 100 hk Crossover; PureTech 130  SUV; 1.2 e-THP 110 hk Crossover,PEUGEOT,2008,331689,exact,code_exact,
PEUGEOT,108,15588,1.0 e-VTi 69 hk 5D; e-VTi 72 5D; 1.0 e-VTi 72 hk 5D,PEUGEOT,108,176432,exact,code_exact,
VOLKSWAGEN,PASSAT,15030,1.4 TSI ACT 150  Variant DSG7; 2.0 TDI BMT 150 Variant DSG6; 1.4 TSI ACT 150  DSG7,VOLKSWAGEN,PASSAT,451005,high,name_similarity_firsttoken,
VOLKSWAGEN,PASSAT,15030,1.4 TSI ACT 150  Variant DSG7; 2.0 TDI BMT 150 Variant DSG6; 1.4 TSI ACT 150  DSG7,VOLKSWAGEN,PAASAT,2,medium,name_similarity_firsttoken,
VOLKSWAGEN,PASSAT,15030,1.4 TSI ACT 150  Variant DSG7; 2.0 TDI BMT 150 Variant DSG6; 1.4 TSI ACT 150  DSG7,VOLKSWAGEN,PASSET,2,medium,name_similarity_firsttoken,
VOLKSWAGEN,PASSAT,15030,1.4 TSI ACT 150  Variant DSG7; 2.0 TDI BMT 150 Variant DSG6; 1.4 TSI ACT 150  DSG7,VOLKSWAGEN,PASSETT,2,medium,name_similarity_firsttoken,
KIA,CEED,14992,1.6 CRDI Stationcar Man. 6; 1.6 GDI Plug-in Hybrid Stationscar DCT 6; 1.0 Stationcar Man. 6,KIA,CEED,306364,exact,short_code_exact,
OPEL,ASTRA,14759,"1,0 Turbo 105HK Sports Tourer; 1,4 Turbo 150HK Sports Tourer; 1,0 Turbo 105HK 5-dørs",VAUXHALL,ASTRA,1545548,high,name_similarity_firsttoken,
OPEL,ASTRA,14759,"1,0 Turbo 105HK Sports Tourer; 1,4 Turbo 150HK Sports Tourer; 1,0 Turbo 105HK 5-dørs",VAUXHALL,ASTRAVAN,18748,medium,name_similarity_firsttoken,
OPEL,ASTRA,14759,"1,0 Turbo 105HK Sports Tourer; 1,4 Turbo 150HK Sports Tourer; 1,0 Turbo 105HK 5-dørs",VAUXHALL,ASTRAMAX,23,medium,name_similarity_firsttoken,
