dmr_make,dmr_model,age_band,reliability_source_count,reliability_agreement,combined_reliability_z,combined_reliability_variance,reliability_effective_n,uk_z,no_z,reliability_confidence
FIAT,Punto S7,3,1,,-1.2885,0.000524,64779,-1.2885,,medium
FIAT,Punto S7,4,1,,-0.95,0.000424,98208,-0.95,,medium
FORD,B-MAX,2,1,,-1.1048,0.000284,114495,-1.1048,,medium
FORD,B-MAX,3,1,,-0.652,0.000523,67336,-0.652,,medium
FORD,C-MAX,2,1,,0.0193,0.000293,133711,0.0193,,medium
FORD,C-MAX,3,1,,0.1705,0.000295,129588,0.1705,,medium
FORD,C-MAX,4,1,,-0.2421,0.000391,108658,-0.2421,,medium
FORD,FIESTA,1,2,0.7216,-1.0824,6.3e-05,1028590,-1.0855,-0.3639,medium
FORD,FIESTA,2,2,1.12,-1.2624,2.3e-05,1364877,-1.2595,-2.3795,low
FORD,FIESTA,3,2,1.1574,-0.9237,2.9e-05,1212781,-0.9171,-2.0746,low
FORD,FIESTA,4,2,0.5301,-0.6448,3.6e-05,1161475,-0.6418,-1.1719,medium
FORD,FIESTA 5 DØRS,1,1,,-0.3639,0.014775,3219,,-0.3639,medium
FORD,FIESTA 5 DØRS,2,1,,-2.3795,0.009159,4402,,-2.3795,medium
FORD,FIESTA 5 DØRS,3,1,,-2.0746,0.005034,8583,,-2.0746,medium
FORD,FIESTA 5 DØRS,4,1,,-1.1719,0.006386,7906,,-1.1719,medium
FORD,FOCUS,1,2,0.2329,0.1161,0.000127,642421,0.1197,-0.1132,high
FORD,FOCUS,2,2,0.3399,-0.137,4.5e-05,841832,-0.1387,0.2012,high
FORD,FOCUS,3,2,0.0014,-0.3013,4.4e-05,830797,-0.3013,-0.3027,high
FORD,FOCUS,4,2,0.1092,-0.0984,4.9e-05,864897,-0.0969,-0.2061,high
FORD,FOCUS STATIONSVOGN,1,1,,-0.1132,0.008194,6110,,-0.1132,medium
FORD,FOCUS STATIONSVOGN,2,2,0.3399,-0.137,4.5e-05,841832,-0.1387,0.2012,high
FORD,FOCUS STATIONSVOGN,3,2,0.0014,-0.3013,4.4e-05,830797,-0.3013,-0.3027,high
FORD,FOCUS STATIONSVOGN,4,2,0.1092,-0.0984,4.9e-05,864897,-0.0969,-0.2061,high
FORD,Focus,1,1,,-0.1132,0.008194,6110,,-0.1132,medium
FORD,Focus,2,1,,0.2012,0.009144,5076,,0.2012,medium
FORD,Focus,3,1,,-0.3027,0.002531,15257,,-0.3027,medium
FORD,Focus,4,1,,-0.2061,0.003668,12012,,-0.2061,medium
FORD,GALAXY,1,1,,-0.4279,0.001707,43215,-0.4279,,medium
FORD,GALAXY,2,1,,-0.5338,0.000698,50801,-0.5338,,medium
FORD,GALAXY,3,1,,-0.5995,0.000665,53134,-0.5995,,medium
FORD,GALAXY,4,1,,0.032,0.000705,61056,0.032,,medium
FORD,KA,3,1,,-0.8152,0.000167,207813,-0.8152,,medium
FORD,KA,4,1,,-0.959,0.000233,178806,-0.959,,medium
FORD,KUGA,1,2,0.0422,0.2599,0.000208,404837,0.259,0.3013,high
FORD,KUGA,2,2,0.7083,0.5039,0.000133,325370,0.4967,1.205,medium
FORD,KUGA,3,2,0.6923,0.4345,0.000257,152914,0.4023,1.0946,medium
FORD,KUGA,4,2,0.3344,0.5022,0.00055,79893,0.4756,0.81,high
FORD,MONDEO,1,1,,0.6954,0.000936,99610,0.6954,,medium
FORD,MONDEO,2,2,0.4033,0.7828,0.000263,176341,0.7716,1.1749,high
FORD,MONDEO,3,2,0.0448,0.4491,0.000209,189209,0.4514,0.4066,high
FORD,MONDEO,4,2,0.0546,0.3681,0.000176,248607,0.3716,0.317,high
FORD,MONDEO STATIONCAR,1,1,,0.6954,0.000936,99610,0.6954,,medium
FORD,MONDEO STATIONCAR,2,2,0.4033,0.7828,0.000263,176341,0.7716,1.1749,high
FORD,MONDEO STATIONCAR,3,2,0.0448,0.4491,0.000209,189209,0.4514,0.4066,high
FORD,MONDEO STATIONCAR,4,2,0.0546,0.3681,0.000176,248607,0.3716,0.317,high
FORD,NY Focus,1,1,,-0.1132,0.008194,6110,,-0.1132,medium
FORD,NY Focus,2,1,,0.2012,0.009144,5076,,0.2012,medium
FORD,NY Focus,3,1,,-0.3027,0.002531,15257,,-0.3027,medium
FORD,NY Focus,4,1,,-0.2061,0.003668,12012,,-0.2061,medium
FORD,PUMA,1,1,,0.9542,0.002495,39588,0.9542,,medium
FORD,S-MAX,1,1,,-0.6059,0.001759,40516,-0.6059,,medium
FORD,S-MAX,2,2,0.2812,-0.2688,0.000539,69366,-0.2809,0.0002,high
FORD,S-MAX,3,2,0.6824,-0.0838,0.000421,88877,-0.0434,-0.7258,medium
FORD,S-MAX,4,2,0.2866,0.209,0.000453,96190,0.2279,-0.0587,high
FORD,Transit Custom Kombi,1,1,,-0.5319,0.000302,239544,-0.5319,,medium
FORD,Transit Custom Kombi,2,1,,-0.01,0.003397,11477,-0.01,,medium
HONDA,CIVIC,1,1,,0.4801,0.000588,151099,0.4801,,medium
HONDA,CIVIC,2,1,,0.7682,0.000261,176814,0.7682,,medium
HONDA,CIVIC,3,1,,0.3535,0.00023,169956,0.3535,,medium
HONDA,CIVIC,4,2,0.4722,-0.1169,0.000135,315846,-0.1128,-0.585,high
HONDA,CR-V,1,1,,1.5538,0.000972,116770,1.5538,,medium
HONDA,CR-V,2,2,0.2555,1.5563,0.000335,167480,1.5526,1.8081,high
HONDA,CR-V,3,2,0.4253,1.8498,0.000329,150919,1.8282,2.2535,high
HONDA,CR-V,4,2,0.1457,1.3687,0.000258,184972,1.3776,1.2319,high
HONDA,JAZZ,1,1,,0.9903,0.000494,201544,0.9903,,medium
HONDA,JAZZ,2,1,,0.6741,0.000203,221635,0.6741,,medium
HONDA,JAZZ,3,1,,0.8732,0.00017,247854,0.8732,,medium
HONDA,JAZZ,4,1,,0.0667,0.000125,344192,0.0667,,medium
HYUNDAI,I10,1,1,,-0.9207,0.000297,226109,-0.9207,,medium
HYUNDAI,I10,2,1,,-0.7572,0.00013,263371,-0.7572,,medium
HYUNDAI,I10,3,1,,-0.8309,0.000145,240058,-0.8309,,medium
HYUNDAI,I10,4,1,,-0.6211,0.000262,160250,-0.6211,,medium
HYUNDAI,I20,1,1,,0.0626,0.00074,109969,0.0626,,medium
HYUNDAI,I20,2,1,,-0.4128,0.000241,149942,-0.4128,,medium
HYUNDAI,I20,3,2,0.5295,-0.8933,0.000258,135083,-0.8789,-1.4083,medium
HYUNDAI,I20,4,2,0.1513,-0.4667,0.000556,75944,-0.474,-0.3226,high
HYUNDAI,I30,1,1,,-0.3011,0.000993,76172,-0.3011,,medium
HYUNDAI,I30,2,1,,-0.8653,0.000273,123066,-0.8653,,medium
HYUNDAI,I30,3,1,,-0.9934,0.000294,116869,-0.9934,,medium
HYUNDAI,I30,4,2,0.1002,-0.8452,0.000486,86390,-0.8492,-0.7489,high
HYUNDAI,I30CW,4,1,,-0.7489,0.012456,3800,,-0.7489,medium
HYUNDAI,I40,2,1,,0.0711,0.001007,39346,0.0711,,medium
HYUNDAI,I40,3,1,,0.127,0.001567,24245,0.127,,medium
HYUNDAI,IX20,2,1,,-1.1389,0.000793,40832,-1.1389,,medium
HYUNDAI,IX20,3,1,,-1.5442,0.00096,35054,-1.5442,,medium
HYUNDAI,IX20,4,1,,-1.0145,0.005844,7129,-1.0145,,medium
HYUNDAI,Ioniq,1,1,,1.0818,0.001264,80426,1.0818,,medium
HYUNDAI,Ioniq,2,1,,1.4962,0.004525,12190,1.4962,,medium
HYUNDAI,KONA,1,1,,0.518,0.001511,59326,0.518,,medium
HYUNDAI,KONA,2,1,,0.9267,0.019528,2449,0.9267,,low
HYUNDAI,Tucson,1,1,,0.0478,0.000315,257700,0.0478,,medium
HYUNDAI,Tucson,2,1,,0.4225,0.000404,105588,0.4225,,medium
HYUNDAI,i30 Stc.,4,1,,-0.7489,0.012456,3800,,-0.7489,medium
KIA,CEE'D SW,3,1,,-1.0688,0.011093,3585,,-1.0688,medium
KIA,CEED,1,1,,-0.3331,0.000741,101379,-0.3331,,medium
KIA,CEED,2,1,,-0.5098,0.000282,126378,-0.5098,,medium
KIA,CEED,3,2,0.232,-0.8427,0.000279,125075,-0.8369,-1.0688,high
KIA,CEED,4,1,,-0.9706,0.000502,83056,-0.9706,,medium
KIA,CEED SW,3,1,,-1.0688,0.011093,3585,,-1.0688,medium
KIA,Niro,1,2,0.4864,0.7337,0.000918,99412,0.7781,0.2916,high
KIA,Niro,2,2,1.2058,1.1274,0.003553,14624,1.372,0.1662,low
