dmr_make,dmr_model,age_band,n_tests_all,raw_rate_all,standardized_rate_all,unstable_all,n_tests_mechanical,raw_rate_mechanical,standardized_rate_mechanical,unstable_mechanical,n_tests_consumable,raw_rate_consumable,standardized_rate_consumable,unstable_consumable
CITROËN,C3,3,184209,0.5677,0.5477,False,184209,0.7194,0.6998,False,184209,0.698,0.6813,False
CITROËN,C3,4,154590,0.5186,0.4978,False,154590,0.6626,0.6396,False,154590,0.6642,0.6459,False
CITROËN,C3 Aircross,1,60304,0.8373,0.8159,False,60304,0.9242,0.9095,False,60304,0.8927,0.8798,False
CITROËN,C3 Aircross,2,4133,0.7525,0.7174,False,4133,0.8493,0.8214,False,4133,0.8623,0.8409,False
CITROËN,C3 PICASSO,1,12256,0.7604,0.7376,False,12256,0.9194,0.9077,False,12256,0.8064,0.7882,False
CITROËN,C3 PICASSO,2,10747,0.6941,0.6569,False,10747,0.8663,0.8393,False,10747,0.769,0.7389,False
CITROËN,C3 PICASSO,3,1912,0.6381,0.6117,False,1912,0.795,0.7673,False,1912,0.728,0.712,False
CITROËN,C3 PICASSO,4,916,0.5055,0.4965,False,916,0.6463,0.6342,False,916,0.6736,0.6639,False
CITROËN,C4,1,166017,0.7456,0.7553,False,166017,0.899,0.9042,False,166017,0.8034,0.8107,False
CITROËN,C4,2,259528,0.6399,0.6551,False,259528,0.7873,0.7984,False,259528,0.7537,0.7648,False
CITROËN,C4,3,133337,0.556,0.5713,False,133337,0.7034,0.7156,False,133337,0.6989,0.7113,False
CITROËN,C4,4,104425,0.4895,0.499,False,104425,0.6515,0.6595,False,104425,0.6188,0.6275,False
CITROËN,C4 Cactus,1,48629,0.7466,0.7387,False,48629,0.9115,0.9058,False,48629,0.7952,0.789,False
CITROËN,C4 Cactus,2,19685,0.6532,0.6402,False,19685,0.8145,0.8025,False,19685,0.7514,0.7408,False
CITROËN,C4 Cactus,3,224,0.567,,True,224,0.692,,True,224,0.7679,,True
CITROËN,C4 PICASSO,1,14319,0.7939,0.7918,False,14319,0.9142,0.9121,False,14319,0.8493,0.8478,False
CITROËN,C4 PICASSO,2,10330,0.7124,0.7036,False,10330,0.84,0.8316,False,10330,0.8063,0.8008,False
CITROËN,C4 PICASSO,3,1263,0.5748,0.5692,False,1263,0.734,0.728,False,1263,0.7181,0.7138,False
CITROËN,C4 PICASSO,4,609,0.4778,0.4753,False,609,0.6404,0.6373,False,609,0.6043,0.5997,False
CITROËN,C5 Aircross,1,1148,0.8632,,True,1148,0.9669,,True,1148,0.8902,,True
CITROËN,DS3,1,4145,0.6449,0.6641,False,4145,0.7862,0.8023,False,4145,0.7679,0.7797,False
CITROËN,DS3,2,108740,0.56,0.5642,False,108740,0.6908,0.6944,False,108740,0.7193,0.7202,False
CITROËN,DS3,3,150218,0.5113,0.5128,False,150218,0.6507,0.6512,False,150218,0.6687,0.6669,False
CITROËN,DS3,4,27264,0.4992,0.5012,False,27264,0.6375,0.6396,False,27264,0.6524,0.6508,False
CITROËN,GRAND C4 PICASSO,1,21,0.9048,,True,21,0.9524,,True,21,0.9524,,True
CITROËN,GRAND C4 PICASSO,2,864,0.5961,0.6275,False,864,0.7731,0.7936,False,864,0.6933,0.7188,False
CITROËN,GRAND C4 PICASSO,3,8680,0.5076,0.5356,False,8680,0.6832,0.7094,False,8680,0.629,0.6538,False
CITROËN,GRAND C4 PICASSO,4,9288,0.4743,0.4879,False,9288,0.6378,0.6513,False,9288,0.5985,0.6106,False
CITROËN,Grand C4 SpaceTourer,1,64,0.8438,,True,64,0.9375,,True,64,0.9062,,True
CITROËN,Grand C4 SpaceTourer,2,895,0.5922,0.6247,False,895,0.7754,0.7961,False,895,0.6894,0.7146,False
CITROËN,Grand C4 SpaceTourer,3,9147,0.506,0.5326,False,9147,0.6846,0.7108,False,9147,0.6273,0.6497,False
CITROËN,Grand C4 SpaceTourer,4,9939,0.4749,0.4885,False,9939,0.6398,0.653,False,9939,0.5987,0.611,False
DACIA,Duster,1,104001,0.752,0.7462,False,104001,0.9122,0.9076,False,104001,0.7988,0.7946,False
DACIA,Duster,2,71206,0.6556,0.6619,False,71206,0.7851,0.7895,False,71206,0.773,0.7771,False
DACIA,Duster,3,25225,0.5769,0.5805,False,25225,0.6988,0.701,False,25225,0.7317,0.7337,False
DACIA,Duster,4,12,0.75,,True,12,0.8333,,True,12,0.9167,,True
DACIA,Logan MCV,1,24061,0.7451,0.7625,False,24061,0.8949,0.9117,False,24061,0.7993,0.8093,False
DACIA,Logan MCV,2,25958,0.6704,0.6902,False,25958,0.8058,0.8256,False,25958,0.7773,0.7895,False
DACIA,Logan MCV,3,4838,0.6213,0.6293,False,4838,0.7422,0.7517,False,4838,0.7666,0.7707,False
DACIA,Logan MCV,4,21,0.6667,,True,21,0.8571,,True,21,0.7619,,True
DACIA,SANDERO,1,149401,0.7471,0.7248,False,149401,0.899,0.8811,False,149401,0.8044,0.7906,False
DACIA,SANDERO,2,148252,0.6186,0.5982,False,148252,0.7392,0.7195,False,148252,0.7698,0.7564,False
DACIA,SANDERO,3,40403,0.5644,0.5463,False,40403,0.6731,0.6563,False,40403,0.7474,0.7327,False
DACIA,SANDERO,4,9,0.3333,,True,9,0.5556,,True,9,0.4444,,True
DS,DS 3,1,59793,0.7365,0.7271,False,59793,0.889,0.8809,False,59793,0.7988,0.7927,False
DS,DS 3,2,59764,0.6281,0.6117,False,59764,0.7631,0.7458,False,59764,0.7599,0.7496,False
DS,DS 3,3,1579,0.5744,0.5564,False,1579,0.6941,0.6718,False,1579,0.734,0.715,False
DS,DS 3,4,1,1.0,,True,1,1.0,,True,1,1.0,,True
FIAT,500,1,268420,0.797,0.7544,False,268420,0.9041,0.8713,False,268420,0.8634,0.8381,False
FIAT,500,2,400753,0.6838,0.64,False,400753,0.792,0.7565,False,400753,0.8174,0.7842,False
FIAT,500,3,338208,0.6199,0.5863,False,338208,0.7456,0.7166,False,338208,0.7629,0.7326,False
FIAT,500,4,195462,0.5623,0.539,False,195462,0.6826,0.6595,False,195462,0.7244,0.7012,False
FIAT,500 C,1,10627,0.7904,0.7481,False,10627,0.8943,0.8563,False,10627,0.8644,0.8461,False
FIAT,500 C,2,25819,0.7008,0.6418,False,25819,0.8066,0.7595,False,25819,0.8295,0.7895,False
FIAT,500 C,3,22249,0.6245,0.5854,False,22249,0.7416,0.7086,False,22249,0.7732,0.7402,False
FIAT,500 C,4,9042,0.5651,0.5325,False,9042,0.6913,0.6634,False,9042,0.7207,0.6877,False
FIAT,500C,1,10627,0.7904,0.7481,False,10627,0.8943,0.8563,False,10627,0.8644,0.8461,False
FIAT,500C,2,25819,0.7008,0.6418,False,25819,0.8066,0.7595,False,25819,0.8295,0.7895,False
FIAT,500C,3,22249,0.6245,0.5854,False,22249,0.7416,0.7086,False,22249,0.7732,0.7402,False
FIAT,500C,4,9042,0.5651,0.5325,False,9042,0.6913,0.6634,False,9042,0.7207,0.6877,False
FIAT,PANDA,1,37902,0.8026,0.7638,False,37902,0.9033,0.8765,False,37902,0.8706,0.845,False
FIAT,PANDA,2,77099,0.7292,0.6763,False,77099,0.8354,0.7915,False,77099,0.8382,0.8061,False
FIAT,PANDA,3,86616,0.6424,0.5866,False,86616,0.7544,0.7058,False,86616,0.7876,0.7491,False
FIAT,PANDA,4,107113,0.5638,0.5158,False,107113,0.674,0.6271,False,107113,0.7357,0.6976,False
FIAT,Punto S7,1,8376,0.7468,0.7165,False,8376,0.8941,0.878,False,8376,0.8111,0.7875,False
FIAT,Punto S7,2,33713,0.6181,0.5969,False,33713,0.7621,0.7421,False,33713,0.7467,0.7304,False
FIAT,Punto S7,3,64779,0.569,0.5574,False,64779,0.7175,0.7056,False,64779,0.7029,0.693,False
FIAT,Punto S7,4,98208,0.5307,0.5149,False,98208,0.6672,0.6512,False,98208,0.679,0.665,False
FORD,B-MAX,1,34670,0.7929,0.7523,False,34670,0.9232,0.9013,False,34670,0.8429,0.8121,False
FORD,B-MAX,2,114495,0.7263,0.6782,False,114495,0.8863,0.8488,False,114495,0.7912,0.7577,False
FORD,B-MAX,3,67336,0.655,0.6108,False,67336,0.8153,0.7732,False,67336,0.7545,0.7239,False
FORD,B-MAX,4,324,0.6235,,True,324,0.7809,,True,324,0.7469,,True
FORD,C-MAX,1,65895,0.836,0.8271,False,65895,0.9565,0.9521,False,65895,0.8666,0.8597,False
FORD,C-MAX,2,133711,0.7681,0.7626,False,133711,0.9057,0.9007,False,133711,0.8248,0.8208,False
FORD,C-MAX,3,129588,0.6739,0.6759,False,129588,0.8237,0.824,False,129588,0.768,0.7686,False
FORD,C-MAX,4,108658,0.5623,0.5694,False,108658,0.7091,0.7145,False,108658,0.6978,0.7027,False
FORD,FIESTA,1,1025371,0.8054,0.7889,False,1025371,0.9198,0.9101,False,1025371,0.8571,0.8447,False
FORD,FIESTA,2,1360475,0.6861,0.6654,False,1360475,0.8272,0.8103,False,1360475,0.7818,0.7664,False
FORD,FIESTA,3,1204198,0.6051,0.5888,False,1204198,0.7463,0.7313,False,1204198,0.7346,0.7216,False
FORD,FIESTA,4,1153569,0.5522,0.5387,False,1153569,0.6984,0.6835,False,1153569,0.6904,0.6801,False
FORD,FIESTA 5 DØRS,1,1025371,0.8054,0.7889,False,1025371,0.9198,0.9101,False,1025371,0.8571,0.8447,False
FORD,FIESTA 5 DØRS,2,1360475,0.6861,0.6654,False,1360475,0.8272,0.8103,False,1360475,0.7818,0.7664,False
FORD,FIESTA 5 DØRS,3,1204198,0.6051,0.5888,False,1204198,0.7463,0.7313,False,1204198,0.7346,0.7216,False
FORD,FIESTA 5 DØRS,4,1153569,0.5522,0.5387,False,1153569,0.6984,0.6835,False,1153569,0.6904,0.6801,False
FORD,FOCUS,1,636311,0.8397,0.8434,False,636311,0.9511,0.9524,False,636311,0.8739,0.877,False
FORD,FOCUS,2,836756,0.7412,0.7517,False,836756,0.8741,0.8804,False,836756,0.8159,0.8236,False
FORD,FOCUS,3,815540,0.6262,0.6391,False,815540,0.7783,0.7871,False,815540,0.7374,0.7484,False
FORD,FOCUS,4,852885,0.5707,0.5803,False,852885,0.7303,0.7376,False,852885,0.6866,0.694,False
FORD,FOCUS STATIONSVOGN,1,636311,0.8397,0.8434,False,636311,0.9511,0.9524,False,636311,0.8739,0.877,False
FORD,FOCUS STATIONSVOGN,2,836756,0.7412,0.7517,False,836756,0.8741,0.8804,False,836756,0.8159,0.8236,False
FORD,FOCUS STATIONSVOGN,3,815540,0.6262,0.6391,False,815540,0.7783,0.7871,False,815540,0.7374,0.7484,False
FORD,FOCUS STATIONSVOGN,4,852885,0.5707,0.5803,False,852885,0.7303,0.7376,False,852885,0.6866,0.694,False
FORD,Focus,1,636311,0.8397,0.8434,False,636311,0.9511,0.9524,False,636311,0.8739,0.877,False
FORD,Focus,2,836756,0.7412,0.7517,False,836756,0.8741,0.8804,False,836756,0.8159,0.8236,False
FORD,Focus,3,815540,0.6262,0.6391,False,815540,0.7783,0.7871,False,815540,0.7374,0.7484,False
FORD,Focus,4,852885,0.5707,0.5803,False,852885,0.7303,0.7376,False,852885,0.6866,0.694,False
FORD,GALAXY,1,43215,0.8011,0.8202,False,43215,0.9459,0.9595,False,43215,0.8312,0.8453,False
FORD,GALAXY,2,50801,0.683,0.7231,False,50801,0.849,0.8844,False,50801,0.7473,0.7778,False
FORD,GALAXY,3,53134,0.5776,0.6152,False,53134,0.7479,0.7813,False,53134,0.6797,0.7128,False
FORD,GALAXY,4,61056,0.5465,0.5901,False,61056,0.6854,0.7329,False,61056,0.6794,0.7129,False
FORD,KA,1,111052,0.8438,0.7969,False,111052,0.9389,0.9137,False,111052,0.8852,0.8509,False
FORD,KA,2,165490,0.736,0.6725,False,165490,0.8503,0.8033,False,165490,0.8297,0.785,False
FORD,KA,3,207813,0.654,0.5973,False,207813,0.7684,0.7182,False,207813,0.7909,0.7492,False
FORD,KA,4,178806,0.554,0.5142,False,178806,0.6614,0.6235,False,178806,0.7365,0.6996,False
FORD,KUGA,1,399644,0.8484,0.849,False,399644,0.9685,0.9678,False,399644,0.8697,0.8705,False
FORD,KUGA,2,321303,0.7861,0.7935,False,321303,0.9208,0.9234,False,321303,0.8328,0.8387,False
FORD,KUGA,3,145744,0.6714,0.6932,False,145744,0.8127,0.8265,False,145744,0.7708,0.7886,False
FORD,KUGA,4,74113,0.5953,0.6229,False,74113,0.7341,0.7545,False,74113,0.719,0.747,False
FORD,MONDEO,1,99610,0.8403,0.8651,False,99610,0.9653,0.9766,False,99610,0.8623,0.8812,False
FORD,MONDEO,2,170752,0.7646,0.81,False,170752,0.8963,0.9268,False,170752,0.8222,0.8551,False
FORD,MONDEO,3,179621,0.6497,0.6968,False,179621,0.7948,0.83,False,179621,0.7517,0.7909,False
