dmr_make,dmr_model,age_band,n_periodisk_tests,n_pass,n_fail,n_strata_surviving,raw_pass_rate,standardized_pass_rate,reliability_unstable,meets_stability_floor_2500,meets_floor_500,meets_floor_1000,meets_floor_1500,meets_floor_2000,meets_floor_2500
SUZUKI,SX4,1,2054,1841,213,3,0.8963,0.8768,False,False,True,True,True,True,False
TOYOTA,AYGO 5-DØRS,3,2298,1095,1203,5,0.4765,0.3489,False,False,True,True,True,True,False
PEUGEOT,2008,2,3179,1777,1402,4,0.559,0.5219,False,True,True,True,True,True,True
CITROËN,C4 PICASSO,4,1058,243,815,4,0.2297,0.2436,False,False,True,True,False,False,False
MAZDA,MAZDA2,2,1120,807,313,4,0.7205,0.6754,False,False,True,True,False,False,False
CITROËN,C4 PICASSO,2,1511,675,836,5,0.4467,0.4666,False,False,True,True,True,False,False
RENAULT,CLIO,1,563,346,217,2,0.6146,,True,False,True,False,False,False,False
VOLVO,V70,2,2502,1821,681,4,0.7278,0.7577,False,True,True,True,True,True,True
HYUNDAI,KONA,1,232,192,40,2,0.8276,,True,False,False,False,False,False,False
AUDI,A3,4,8787,3050,5737,5,0.3471,0.3446,False,True,True,True,True,True,True
TOYOTA,VERSO,2,178,116,62,3,0.6517,0.5929,False,False,False,False,False,False,False
KIA,RIO,4,248,94,154,3,0.379,0.3781,False,False,False,False,False,False,False
RENAULT,Ny Clio,1,563,346,217,2,0.6146,,True,False,True,False,False,False,False
DACIA,Duster,4,8,1,7,0,0.125,,True,False,False,False,False,False,False
MERCEDES-BENZ,GLC,2,5064,3503,1561,5,0.6917,0.7012,False,True,True,True,True,True,True
SKODA,FABIA COMBI,4,4252,1424,2828,5,0.3349,0.2906,False,True,True,True,True,True,True
FORD,B-MAX,1,5,2,3,0,0.4,,True,False,False,False,False,False,False
RENAULT,MEGANE,2,326,182,144,3,0.5583,0.5413,False,False,False,False,False,False,False
BMW,4-serie,1,85,63,22,1,0.7412,,True,False,False,False,False,False,False
FORD,FIESTA 5 DØRS,4,7906,2272,5634,5,0.2874,0.2516,False,True,True,True,True,True,True
