dmr_make,dmr_model,age_band,dk_vehicle_count,n_nt_tests,meets_stability_floor,raw_pass_rate,standardized_pass_rate,reliability_unstable,repair_burden_index,median_annual_fuel_cost_dkk,median_annual_ejerafgift_dkk,median_power_to_weight_wkg,median_weight_kg,median_cylinder_count,engagement_score,engagement_pct_power_to_weight,engagement_pct_cylinder_count,engagement_pct_weight_inverted
OPEL,CORSA,2,4411,421043,True,0.6686,0.6578,False,0.9742,12517.500000000002,1600.0,55.04587155963303,1199.0,4.0,0.451,0.2353,0.6246,0.7296
OPEL,CORSA,3,7154,427101,True,0.5896,0.5793,False,1.2493,12517.500000000002,1760.0,54.17024935511608,1199.0,4.0,0.4367,0.2067,0.6246,0.7296
OPEL,CORSA,4,10276,376221,True,0.5523,0.5367,False,1.4492,12772.959183673469,1760.0,54.35720448662641,1163.0,4.0,0.4524,0.211,0.6246,0.7976
OPEL,Crossland X,1,1301,21444,True,0.8614,0.8473,False,0.2652,10932.314410480352,1520.0,60.178306092124814,1346.0,3.0,0.3703,0.4156,0.1454,0.5944
OPEL,Crossland X,2,2940,2,False,1.0,,True,,12036.057692307691,1600.0,60.267857142857146,1315.0,3.0,0.3797,0.4185,0.1454,0.6345
OPEL,Grandland X,1,1365,34208,True,0.862,0.8521,False,0.2642,6435.732647814911,1040.0,70.97118463180362,1874.0,4.0,0.5889,0.7747,0.6246,0.0708
OPEL,Grandland X,2,1310,1,False,1.0,,True,,11808.962264150945,2440.0,64.73364801078894,1503.0,3.0,0.4131,0.5873,0.1454,0.3791
OPEL,INSIGNIA,1,72,48335,True,0.8034,0.8326,False,0.4102,11211.538461538463,3600.0,63.69426751592356,1635.0,4.0,0.4995,0.5386,0.6246,0.2139
OPEL,INSIGNIA,2,1894,126451,True,0.6999,0.7375,False,0.7666,14991.428571428569,4160.0,77.51441383728378,1552.0,4.0,0.7028,0.8991,0.6246,0.329
OPEL,INSIGNIA,3,1561,127424,True,0.6469,0.6864,False,1.0688,11817.567567567568,2780.0,59.434506635891516,1733.0,4.0,0.4096,0.3884,0.6246,0.1402
OPEL,INSIGNIA,4,825,73713,True,0.61,0.6333,False,1.3343,11817.567567567568,3960.0,64.50200903047846,1733.0,4.0,0.5012,0.5715,0.6246,0.1402
OPEL,KARL,2,3758,52096,True,0.7832,0.7177,False,0.4827,10260.245901639346,920.0,53.24298160696999,1033.0,3.0,0.3109,0.1767,0.1454,0.8948
OPEL,KARL,3,5162,1247,False,0.7081,0.6897,True,0.7014,10260.245901639346,920.0,53.191489361702125,1034.0,3.0,0.3092,0.1738,0.1454,0.8934
OPEL,MERIVA,2,51,36877,True,0.7295,0.6986,False,0.5841,13532.432432432433,1760.0,59.823249490142764,1471.0,4.0,0.4702,0.4013,0.6246,0.4106
OPEL,MERIVA,3,917,49159,True,0.6657,0.6402,False,0.8205,13986.033519553073,2580.0,58.54956753160346,1437.0,4.0,0.4649,0.3627,0.6246,0.4807
OPEL,MERIVA,4,1638,60529,True,0.5725,0.5539,False,1.4269,15265.243902439028,3480.0,57.704918032786885,1475.0,4.0,0.4347,0.3326,0.6246,0.4049
OPEL,Mokka,1,646,121755,True,0.7638,0.7519,False,0.5379,12212.195121951221,1600.0,72.28915662650603,1299.0,3.0,0.5743,0.8047,0.1454,0.6416
OPEL,Mokka,2,6,229606,True,0.6605,0.6496,False,0.954,14902.313715763741,3780.0,69.54760297096556,1481.0,4.0,0.6385,0.7425,0.6246,0.3991
OPEL,Mokka,3,924,86278,True,0.6271,0.6244,False,1.1697,14991.017964071858,3480.0,69.54760297096556,1481.0,4.0,0.6385,0.7425,0.6246,0.3991
OPEL,Mokka,4,110,66,False,0.6212,,True,1.2568,16048.076923076924,3480.0,62.58148631029987,1527.0,4.0,0.5026,0.4871,0.6246,0.3584
OPEL,ZAFIRA,2,227,80525,True,0.7151,0.7296,False,0.6847,15549.68944099379,4160.0,60.55261610817166,1701.0,4.0,0.4311,0.4256,0.6246,0.1545
OPEL,ZAFIRA,3,652,128886,True,0.6323,0.6491,False,1.0585,15265.243902439028,3480.0,59.434506635891516,1701.0,4.0,0.4125,0.3884,0.6246,0.1545
OPEL,ZAFIRA,4,504,94820,True,0.5396,0.5607,False,1.651,15709.580838323353,4960.0,59.434506635891516,1667.0,4.0,0.4175,0.3884,0.6246,0.1795
PEUGEOT,107,3,2912,77732,True,0.6896,0.6367,False,0.8557,10744.635193133046,920.0,56.81818181818181,880.0,3.0,0.3976,0.3083,0.1454,0.9993
PEUGEOT,107,4,14763,102841,True,0.5892,0.5434,False,1.4139,10744.635193133046,920.0,55.248618784530386,905.0,3.0,0.3636,0.2425,0.1454,0.9936
PEUGEOT,108,1,3639,37512,True,0.8554,0.8232,False,0.3046,8429.292929292931,1280.0,55.38140020898641,957.0,3.0,0.3623,0.2554,0.1454,0.9549
PEUGEOT,108,2,5149,88501,True,0.8012,0.7496,False,0.4745,8662.629757785468,1280.0,55.49738219895288,954.0,3.0,0.3647,0.2597,0.1454,0.9564
PEUGEOT,108,3,6801,16649,True,0.7497,0.6811,False,0.6478,9519.011406844107,920.0,53.684210526315795,950.0,3.0,0.3314,0.191,0.1454,0.9614
PEUGEOT,2008,1,4184,85209,True,0.7987,0.7843,False,0.4753,10932.314410480352,1600.0,73.95993836671803,1298.0,3.0,0.5919,0.8391,0.1454,0.6438
PEUGEOT,2008,2,7834,100429,True,0.6705,0.6648,False,0.8967,9540.0,1960.0,56.646525679758305,1293.0,4.0,0.467,0.2997,0.6246,0.6488
PEUGEOT,2008,3,4085,35934,True,0.5983,0.5947,False,1.2676,12272.058823529414,920.0,53.57142857142857,1211.0,3.0,0.281,0.1881,0.1454,0.7167
PEUGEOT,2008,4,656,11,False,0.6364,,True,0.7418,12272.058823529414,920.0,49.586776859504134,1210.0,3.0,0.2374,0.0994,0.1454,0.7203
PEUGEOT,206 +,4,4125,4178,True,0.5404,0.4924,False,1.6328,10493.999999999998,2780.0,45.37205081669691,1102.0,4.0,0.372,0.0308,0.6246,0.8462
PEUGEOT,207,3,2,37553,True,0.5388,0.5248,False,1.4765,17400.468975468975,4310.0,61.05287475815068,1441.5,4.0,0.5038,0.4442,0.6246,0.4714
PEUGEOT,207,4,4321,169921,True,0.4937,0.4778,False,1.8204,11259.656652360512,2920.0,50.151975683890576,1316.0,4.0,0.3677,0.108,0.6246,0.6316
PEUGEOT,208,1,8292,90119,True,0.7813,0.7595,False,0.5116,9555.343511450383,1520.0,61.61532056619483,1195.0,3.0,0.4222,0.4614,0.1454,0.7396
PEUGEOT,208,2,21491,138946,True,0.7024,0.6809,False,0.7904,7878.378378378378,1520.0,57.70750988142292,1242.0,4.0,0.4905,0.334,0.6246,0.6803
PEUGEOT,208,3,16584,140284,True,0.6102,0.5907,False,1.2013,10744.635193133046,920.0,57.14285714285714,1155.0,3.0,0.3657,0.3212,0.1454,0.8076
PEUGEOT,208,4,6361,3451,True,0.5795,0.5555,False,1.4633,10744.635193133046,920.0,51.36986301369863,1168.0,3.0,0.2654,0.1309,0.1454,0.7818
PEUGEOT,3008,1,5339,96939,True,0.8214,0.8278,False,0.3842,6386.4795918367345,920.0,71.58234660925726,1858.0,4.0,0.5988,0.7904,0.6246,0.0808
PEUGEOT,3008,2,4575,58940,True,0.6984,0.7018,False,0.7857,11023.109243697478,3260.0,60.87507926442613,1500.0,4.0,0.4833,0.4371,0.6246,0.387
PEUGEOT,3008,3,791,56583,True,0.5461,0.5628,False,1.4745,12272.058823529414,2920.0,58.666666666666664,1500.0,4.0,0.4475,0.3655,0.6246,0.387
PEUGEOT,3008,4,1130,33500,True,0.4982,0.5119,False,1.8572,13385.20408163265,4960.0,53.333333333333336,1614.0,4.0,0.3272,0.1781,0.6246,0.2539
PEUGEOT,308,1,1770,38831,True,0.8038,0.8171,False,0.4265,8573.529411764704,2440.0,66.25258799171843,1449.0,4.0,0.6015,0.6445,0.6246,0.4592
PEUGEOT,308,2,7555,73651,True,0.6965,0.7157,False,0.799,8381.78913738019,2440.0,62.76747503566334,1437.0,4.0,0.5307,0.4943,0.6246,0.4807
PEUGEOT,308,3,8300,62729,True,0.5898,0.6028,False,1.2282,8381.78913738019,1960.0,60.773480662983424,1448.0,4.0,0.4968,0.4342,0.6246,0.4614
